Time,AX,AY,AZ,GX,GY,GZ,T
0.0276,0.1300,0.0400,1.1860,7.8020,19.0840,-48.6110,32.0600
0.0279,0.1390,0.0780,1.1250,-0.2440,29.3130,-46.2140,32.0100
0.0281,0.1350,0.0900,1.1420,-3.4200,21.7100,-46.5800,32.0600
0.0284,0.1150,0.0900,1.1610,-5.9390,23.6950,-45.1600,32.0100
0.0288,0.1160,0.0820,1.2020,-4.6110,20.0460,-44.7330,32.0100
0.0291,0.1300,0.0740,1.1790,-4.5040,19.2370,-45.2060,31.9700
0.0293,0.1150,0.0680,1.2190,-4.5190,16.4890,-45.6340,32.0100
0.0296,0.1420,0.0690,1.2270,-1.8930,18.3510,-46.0310,32.0600
0.0298,0.1160,0.0670,1.1750,-2.4430,21.1450,-45.9240,32.1100
0.0300,0.0990,0.0870,1.1550,-4.4730,19.8170,-44.6560,31.9700
0.0303,0.1110,0.0720,1.2060,-3.1450,15.9390,-44.6720,32.0100
0.0305,0.1200,0.0650,1.2210,-0.7480,13.9080,-44.3360,31.9700
0.0308,0.1390,0.0660,1.2040,-0.5800,16.5040,-44.4580,32.1100
0.0310,0.1360,0.0730,1.1990,-0.5800,17.0840,-45.4960,32.0600
0.0312,0.1230,0.0750,1.1820,-0.9160,17.4810,-46.1530,31.9700
0.0315,0.1070,0.0830,1.1750,-1.6790,15.5730,-45.7710,32.0600
0.0317,0.1420,0.0730,1.2130,0.3820,13.7100,-45.4500,32.0600
0.0319,0.1500,0.0530,1.2370,4.3660,16.7330,-45.4960,31.9200
0.0321,0.1460,0.0410,1.2180,10.5800,17.6790,-46.3360,32.0600
0.0322,0.1180,0.0630,1.1460,2.5950,19.9080,-44.3970,32.0100
0.0323,0.1130,0.0670,1.1690,1.5880,15.4810,-43.6340,31.9700
0.0325,0.1150,0.0680,1.1530,1.4350,16.2440,-41.8320,32.1100
0.0327,0.1280,0.0750,1.1300,-0.9470,18.0310,-40.5190,32.0600
0.0330,0.1730,0.0820,1.1350,-3.6790,19.7710,-40.6260,32.0600
0.0332,0.1880,0.0800,1.1640,-3.3590,19.6030,-42.7020,32.0100
0.0334,0.1850,0.0810,1.1680,-2.2140,18.1830,-45.0840,32.0600
0.0336,0.1780,0.0720,1.1960,-0.5650,17.6180,-45.8170,31.9200
0.0337,0.1630,0.0640,1.2320,2.0920,17.5570,-45.7250,32.0600
0.0338,0.1750,0.0640,1.2060,5.0690,20.3970,-45.4960,32.0100
0.0340,0.1490,0.0720,1.1660,5.2820,20.1680,-44.6260,32.0600
0.0341,0.1780,0.0800,1.1630,5.5270,21.5110,-44.8400,32.0100
0.0342,0.1590,0.0920,1.1570,5.2210,21.7400,-45.9690,32.0600
