Time,AX,AY,AZ,GX,GY,GZ,T
0.0279,0.1180,-0.0860,1.2130,-17.0690,22.1680,-53.8020,35.0700
0.0282,0.1220,-0.0540,1.2040,-16.1370,24.7020,-53.5110,35.1200
0.0285,0.1050,-0.0470,1.1890,-8.3660,25.8170,-61.0990,35.0700
0.0288,0.0970,-0.0530,1.1970,-3.1600,25.6790,-65.9080,35.0700
0.0291,0.0800,-0.0790,1.1760,1.8320,24.6720,-73.1600,35.1200
0.0293,0.0680,-0.0920,1.1830,2.3820,20.8090,-78.1220,34.9800
0.0296,0.0540,-0.0820,1.1780,-0.0460,19.6180,-78.7940,35.1700
0.0299,0.0520,-0.0700,1.1730,3.5420,19.2060,-75.8930,35.2100
0.0301,0.0750,-0.0620,1.1640,2.7330,18.4890,-73.8630,35.0700
0.0303,0.1010,-0.0850,1.1730,-2.2290,18.4580,-68.8400,35.0700
0.0306,0.1240,-0.1150,1.1930,-5.7100,20.3970,-66.1680,35.2100
0.0308,0.1260,-0.1360,1.2130,-6.8090,23.1600,-66.8850,34.9800
0.0311,0.1090,-0.1240,1.2050,-4.7790,26.1680,-68.6260,35.0700
0.0313,0.0940,-0.1180,1.1960,-4.0460,27.9540,-70.8850,35.1200
0.0316,0.0700,-0.1050,1.1730,-3.0990,26.6260,-73.0530,35.0700
0.0318,0.0510,-0.0890,1.1660,-0.0310,29.9080,-73.6640,35.1200
0.0322,0.0160,-0.1230,1.1440,-2.9620,25.3280,-71.4960,35.0200
0.0325,-0.0070,-0.1350,1.1600,0.5040,31.5880,-70.5190,35.0700
0.0327,-0.0400,-0.1420,1.1140,-3.1600,23.6490,-69.2520,35.1200
0.0330,-0.0370,-0.1300,1.1150,1.7100,20.3820,-70.9470,35.1200
0.0332,-0.0390,-0.1420,1.1260,3.4660,18.7180,-68.4430,35.1700
0.0335,-0.0220,-0.1670,1.1250,1.2060,16.5190,-67.1150,35.1200
0.0337,-0.0090,-0.1500,1.1310,4.6720,16.1370,-66.0460,35.1200
0.0339,0.0260,-0.1580,1.1290,7.1910,13.8930,-62.3210,35.0700
0.0342,0.0290,-0.1400,1.1240,8.1370,12.1070,-64.0610,35.0200
0.0344,0.0310,-0.1140,1.1030,12.0760,10.3050,-65.4500,35.0200
0.0347,0.0550,-0.1060,1.1210,13.1760,11.1300,-65.6030,35.0700
0.0349,0.0940,-0.0620,1.1350,9.0080,11.7250,-63.0840,35.1200
0.0352,0.1130,-0.0130,1.1340,6.3660,14.8850,-60.4430,35.0200
0.0354,0.1260,-0.0070,1.1460,5.1450,20.6110,-60.1220,35.0700
0.0355,0.1140,-0.0510,1.1440,-0.3510,23.8020,-60.3050,35.0200
0.0357,0.0860,-0.0760,1.1360,0.1070,25.5570,-61.1600,35.1200
0.0358,0.0780,-0.0890,1.1230,-0.1530,25.2060,-60.5040,35.0700
0.0360,0.0850,-0.0960,1.1370,-2.4120,25.0080,-58.7940,35.1200
0.0361,0.0940,-0.1140,1.1370,-3.5110,24.4730,-57.1760,35.1200
0.0363,0.0900,-0.1230,1.1440,-1.8020,25.3890,-57.7560,35.0700
0.0365,0.0900,-0.1160,1.1510,-2.3210,25.0530,-54.8550,35.0200
0.0367,0.0850,-0.1130,1.1500,-1.2520,27.4050,-52.6870,35.1200
0.0370,0.0890,-0.1070,1.1560,-3.9850,25.9080,-52.1530,34.9800
0.0372,0.0890,-0.0780,1.1620,-4.8700,26.5950,-51.9540,35.0200
0.0374,0.0840,-0.0620,1.1790,-3.9850,26.2140,-52.4430,35.1200
0.0377,0.0850,-0.0510,1.1850,-3.1760,25.7400,-55.6340,35.1700
0.0379,0.0800,-0.0670,1.1640,3.0530,25.4960,-61.2210,35.1200
0.0381,0.0930,-0.0990,1.2000,1.1150,25.8320,-60.1830,34.9300
0.0383,0.0970,-0.0760,1.2070,-2.0000,28.2140,-56.4430,35.0700
0.0385,0.0890,-0.1030,1.2260,-4.6110,30.5040,-53.3280,35.1200
0.0388,0.0810,-0.0960,1.2150,-6.8700,31.0990,-53.4350,35.1200
0.0390,0.0620,-0.0970,1.2100,-6.7940,31.4660,-52.0760,35.0700
0.0392,0.0560,-0.1180,1.2040,-7.5880,30.6560,-51.4350,35.1200
0.0394,0.0460,-0.1080,1.2030,-4.8240,29.7400,-51.8320,35.0700
0.0397,0.0350,-0.1140,1.2010,-2.6410,28.2900,-50.7790,35.1700
0.0399,0.0340,-0.1020,1.1960,-1.9240,26.9620,-51.8320,35.1200
0.0401,0.0470,-0.1010,1.2110,-3.5730,25.5270,-51.0530,35.0700
0.0405,0.0410,-0.0980,1.2170,-4.7630,24.5340,-49.2520,35.1700
0.0407,0.0490,-0.0910,1.2100,-4.1680,24.0610,-47.5730,35.0200
0.0409,0.0410,-0.0870,1.1840,-4.3970,22.9770,-47.9080,35.0700
0.0412,0.0450,-0.1070,1.1840,-4.5040,21.4960,-47.8170,35.0700
0.0414,0.0500,-0.1090,1.1870,-0.1220,21.0840,-49.7860,35.1200
0.0416,0.0690,-0.1100,1.1940,1.8320,20.9160,-48.3210,35.0700
0.0418,0.0660,-0.1100,1.1840,0.4120,21.3890,-45.3740,35.0700
0.0420,0.0770,-0.0940,1.1770,-1.7250,20.8400,-43.7710,35.0200
0.0422,0.0790,-0.0740,1.1520,-1.5110,20.6720,-44.3970,34.9800
0.0424,0.0880,-0.0700,1.1580,-2.4120,19.8630,-44.7630,35.0200
0.0426,0.0870,-0.0680,1.1600,-0.6110,19.8020,-46.3820,34.9300
0.0428,0.0850,-0.0920,1.1720,-0.9620,20.5340,-46.3510,34.9800
0.0430,0.0840,-0.0960,1.1740,-2.1530,21.3280,-43.7100,35.2100
0.0432,0.0750,-0.1000,1.1670,-3.1450,21.8630,-40.4890,35.1700
0.0434,0.0850,-0.0870,1.1400,-4.5800,20.1370,-38.1370,35.0700
0.0436,0.0820,-0.0870,1.1370,-6.3510,18.4120,-38.7330,35.1200
0.0438,0.0890,-0.0630,1.1270,-3.1910,16.2750,-42.0610,35.0200
0.0440,0.1040,-0.0760,1.1510,-1.6950,15.1300,-44.5040,35.0700
0.0442,0.1200,-0.0860,1.1490,-1.3280,14.3970,-45.2670,35.1200
0.0444,0.1350,-0.1130,1.1830,-2.3210,15.0990,-44.8090,35.0700
0.0446,0.1420,-0.1190,1.1810,-2.7330,15.8630,-45.3130,35.1700
0.0448,0.1560,-0.1050,1.2020,-3.0690,16.9770,-46.5340,35.1200
0.0450,0.1660,-0.0890,1.1940,-1.5270,18.7020,-47.7400,34.9800
0.0452,0.1680,-0.1020,1.2100,0.5650,20.9010,-48.3510,35.0700
0.0454,0.1660,-0.1410,1.2040,-0.3510,22.9010,-46.0610,35.0200
0.0456,0.1550,-0.1400,1.2070,-4.6410,25.3440,-41.6950,35.0700
0.0458,0.1200,-0.1270,1.1780,-4.9310,25.4050,-41.0080,35.0700
0.0460,0.1160,-0.1040,1.1660,-3.4200,24.2440,-42.1530,35.0200
0.0462,0.1140,-0.1070,1.1940,-5.1450,20.0610,-43.1600,35.0700
0.0464,0.1020,-0.1220,1.1970,-5.2370,20.6260,-42.5950,35.0200
0.0466,0.1190,-0.0890,1.1020,-2.7180,28.8850,-44.5650,35.0200
0.0468,0.0780,-0.1370,1.1800,-3.0530,20.5650,-43.5570,35.0700
0.0470,0.0690,-0.1430,1.1740,-1.6030,19.3740,-43.7250,35.1200
0.0479,0.0680,-0.1480,1.1790,-1.5570,19.2520,-42.6720,35.0700
0.0602,0.0670,-0.1380,1.1890,-2.6410,19.4050,-39.6640,35.0700
0.0668,0.0670,-0.1230,1.1610,-4.5340,19.4960,-38.5500,35.0200
0.0792,0.0610,-0.1150,1.1640,-4.5040,18.4430,-38.8090,35.0200
0.0915,0.0550,-0.1250,1.1450,-3.2520,16.6560,-40.5040,35.0700
0.0982,0.0620,-0.1200,1.1570,-1.9080,15.3440,-41.9690,35.0200
0.1106,0.0620,-0.1100,1.1620,-0.8090,15.2670,-41.2520,35.0700
0.1171,0.0820,-0.1070,1.1690,1.5730,15.4050,-41.9240,35.0700
0.1295,0.0830,-0.0880,1.1900,1.8170,16.5190,-39.3740,35.1200
0.1365,0.0760,-0.0870,1.1590,0.7480,16.7180,-39.0530,35.0700
0.1487,0.0690,-0.0990,1.1500,-2.3510,15.2370,-37.8930,35.0700
0.1608,0.0700,-0.1110,1.1620,-0.2900,13.2060,-40.7790,35.0200
0.1678,0.0920,-0.0980,1.1560,2.0150,11.1910,-42.4580,35.0700
0.1801,0.1160,-0.0950,1.1860,-0.1530,10.7790,-41.3130,35.0700
0.1868,0.1450,-0.0830,1.1890,-0.8700,12.5950,-40.6410,35.0200
0.1993,0.1380,-0.1060,1.1990,0.3660,14.2440,-42.1980,35.1700
0.2112,0.1570,-0.1120,1.2300,-0.4580,17.0990,-41.6640,35.1700
0.2181,0.1350,-0.1170,1.2130,-2.8240,18.2900,-38.1220,35.0200
0.2304,0.1210,-0.1130,1.1910,0.3050,21.1910,-39.3280,35.0700
0.2375,0.1060,-0.1040,1.1690,0.4430,19.9240,-39.2820,35.0700
0.2495,0.1060,-0.1060,1.1630,0.5340,19.8020,-38.7790,35.0200
0.2616,0.0970,-0.1150,1.1620,-1.6490,18.3210,-38.9470,34.9800
0.2688,0.1060,-0.0890,1.1640,-0.0760,17.9540,-40.0150,34.9800
0.2807,0.1130,-0.0820,1.1620,-1.4050,17.6490,-39.4200,35.1200
0.2877,0.1120,-0.0860,1.1810,-1.9850,18.1980,-40.2600,34.9800
0.2996,0.1020,-0.1190,1.1800,-1.1300,19.0690,-39.7100,35.0700
0.3066,0.1010,-0.1270,1.1820,-5.0690,19.9690,-35.7560,35.0200
0.3187,0.0830,-0.1270,1.1660,-7.4050,19.6030,-33.8470,35.0700
0.3310,0.0720,-0.1060,1.1660,-8.1680,18.6410,-33.2370,35.1200
0.3379,0.0630,-0.1040,1.1530,-4.5500,17.0690,-35.3740,35.1200
0.3499,0.0710,-0.1090,1.1640,-2.3360,15.4500,-36.4730,35.0700
0.3567,0.0820,-0.1210,1.1650,-2.7180,14.5040,-35.6640,35.1200
0.3690,0.0780,-0.1170,1.1530,0.7790,14.2290,-36.3660,35.0200
0.3813,0.0910,-0.1150,1.1580,-0.3210,13.2820,-36.4890,34.9800
0.3882,0.0900,-0.0950,1.1520,-3.6340,13.1150,-36.1830,35.1200
0.4003,0.0930,-0.0840,1.1420,-2.5500,12.6260,-36.9010,35.1200
0.4070,0.0980,-0.1090,1.1500,-2.1830,11.8170,-38.4430,35.0700
0.4193,0.1220,-0.0970,1.1480,-2.5650,11.2370,-37.7400,35.0200
0.4314,0.1460,-0.1210,1.1710,-3.4350,11.0530,-36.9160,35.1200
0.4381,0.1610,-0.1050,1.1760,-4.6410,13.6030,-36.1680,35.0700
0.4504,0.1620,-0.0910,1.1830,-5.3280,18.6110,-36.3510,35.0200
0.4573,0.1560,-0.0730,1.1700,-5.9540,17.1600,-36.5650,35.0200
0.4695,0.1480,-0.0910,1.1790,-5.6030,18.1530,-37.9540,35.1700
