Time,AX,AY,AZ,GX,GY,GZ,T
0.0000,0.0810,-0.1850,1.1630,-3.3890,26.9770,-70.1680,34.9300
0.0005,0.0690,-0.1860,1.1430,-2.2750,24.2600,-71.3590,34.8800
0.0010,0.0580,-0.1770,1.1530,-2.1680,20.5800,-72.1370,34.9300
0.0014,0.0710,-0.1500,1.1820,-4.2900,18.8850,-72.4730,34.9800
0.0018,0.0950,-0.0800,1.2160,-3.4960,19.5420,-72.1070,34.9800
0.0023,0.1060,-0.0750,1.2270,-0.9310,21.1450,-73.0990,35.0200
0.0027,0.1150,-0.0740,1.2300,-2.2900,23.5420,-73.1450,34.8800
0.0031,0.0980,-0.1050,1.2080,-4.6110,26.3210,-71.4500,34.9800
0.0036,0.0920,-0.1570,1.1900,-3.1910,26.2290,-71.2980,34.9300
0.0040,0.0960,-0.1990,1.1640,-1.9850,25.1600,-69.9690,34.9800
0.0045,0.0870,-0.2380,1.1460,-1.9690,23.4050,-69.6640,35.0200
0.0049,0.0630,-0.2260,1.1660,-6.4120,21.2820,-68.9160,34.9300
0.0060,0.0660,-0.1130,1.1810,-4.2440,20.5950,-67.3890,35.0700
0.0064,0.0590,-0.0790,1.1550,2.9010,18.4890,-70.8550,34.9300
0.0068,0.0720,-0.0570,1.1660,1.6950,16.3820,-75.5270,35.0200
0.0072,0.0930,-0.0760,1.1780,2.3360,17.0380,-75.4660,34.9800
0.0075,0.1080,-0.1050,1.1640,3.2520,18.0760,-74.3360,34.9300
0.0078,0.1040,-0.1250,1.1350,1.4500,19.4050,-73.4960,34.8800
0.0081,0.0930,-0.1620,1.1290,0.8700,18.4270,-72.8240,34.9800
0.0085,0.0790,-0.1530,1.1370,-0.3510,16.7940,-74.0000,34.9300
0.0088,0.0760,-0.1150,1.1490,-1.0690,15.4200,-72.6260,34.9800
0.0091,0.0810,-0.0950,1.1690,-1.4660,16.0610,-71.6640,34.8800
0.0095,0.0840,-0.0560,1.1700,-4.0460,16.8700,-69.8020,34.9300
0.0098,0.0830,-0.0210,1.1650,-5.2820,17.6950,-68.4730,34.9800
0.0102,0.0780,-0.0170,1.1450,-5.6180,18.7180,-69.6640,34.9800
0.0106,0.0720,-0.0460,1.1400,-4.3660,17.8170,-73.0080,34.9300
0.0109,0.0750,-0.0750,1.1220,-2.2600,17.6030,-75.7400,34.8800
0.0113,0.0900,-0.1320,1.1400,-3.0230,18.3210,-74.4730,34.9300
0.0117,0.0900,-0.1550,1.1460,-6.3970,20.4730,-71.5880,34.8800
0.0120,0.0680,-0.1470,1.1320,-7.4200,21.5420,-67.7250,34.9800
0.0124,0.0500,-0.1400,1.1080,-5.4960,20.6410,-65.0530,34.9300
0.0128,0.0350,-0.1280,1.0810,-7.4660,18.3210,-65.7560,34.8400
0.0131,0.0230,-0.1200,1.1100,-7.8470,15.3280,-66.9010,34.8800
0.0141,0.0240,-0.0860,1.1230,-4.1530,13.6340,-68.2140,34.8400
0.0144,0.0340,-0.1040,1.1150,-0.9620,12.4890,-71.4200,34.9800
0.0150,0.0580,-0.0970,1.1560,-3.2670,12.7330,-72.1980,34.9800
0.0154,0.0650,-0.1090,1.1640,-1.9850,15.0530,-73.1760,34.9300
0.0158,0.0640,-0.1040,1.1630,-1.9080,17.0380,-73.6180,34.9800
0.0162,0.0440,-0.0960,1.1640,-5.3130,18.9770,-71.9240,34.9800
0.0166,0.0330,-0.0880,1.1640,-10.2290,21.3590,-68.0460,34.8400
0.0170,0.0050,-0.0890,1.1310,-10.2290,21.7560,-63.8630,34.9800
0.0173,-0.0010,-0.1550,1.1350,-9.1600,19.8320,-63.8170,34.8800
0.0177,-0.0050,-0.1570,1.1380,-10.6720,16.5190,-60.5340,34.9300
0.0181,-0.0050,-0.1880,1.1660,-6.4430,17.1300,-61.6490,34.8800
0.0185,0.0110,-0.1720,1.2110,-12.9310,15.9690,-57.0990,34.8800
0.0188,0.0100,-0.1480,1.2290,-11.0530,18.0150,-56.2290,34.9300
0.0193,0.0000,-0.1350,1.2470,-8.3660,18.5500,-56.5340,34.9800
0.0197,-0.0020,-0.1000,1.2390,-5.5420,19.1150,-58.8550,34.9300
0.0200,0.0070,-0.1200,1.2480,-2.3210,18.6110,-60.5650,34.9300
0.0203,0.0280,-0.1520,1.2570,-1.0840,20.0150,-60.5500,34.8800
0.0207,0.0320,-0.1510,1.2470,-0.9010,20.9470,-57.5570,34.8400
0.0210,0.0350,-0.1800,1.2500,1.2820,22.9470,-57.2370,34.9300
0.0213,0.0450,-0.1780,1.2250,1.9080,24.4890,-54.9010,34.8800
0.0216,0.0380,-0.1700,1.2310,1.0380,26.5500,-52.7330,34.9300
0.0222,0.0160,-0.1630,1.1950,1.9240,27.3130,-51.3130,34.9300
0.0226,0.0060,-0.1530,1.1980,0.1980,26.1980,-50.1680,34.9800
0.0230,0.0190,-0.1380,1.1880,3.3440,25.9540,-49.7860,34.9300
