Time,AX,AY,AZ,GX,GY,GZ,T
0.0000,-0.0340,-0.0700,1.1990,-11.2060,24.9920,-34.1830,33.8000
0.0004,-0.0370,-0.0610,1.1750,-6.8240,22.9620,-33.9850,33.7500
0.0009,-0.0230,-0.0580,1.1640,-5.5420,21.8020,-35.2370,33.7100
0.0013,-0.0140,-0.0670,1.1560,-3.8930,18.2900,-37.4050,33.7500
0.0017,-0.0360,-0.0930,1.1670,-0.5500,16.8850,-39.6340,33.7500
0.0021,-0.0410,-0.0980,1.2210,2.4430,16.2600,-38.1980,33.6100
0.0025,-0.0490,-0.1170,1.2430,-1.3130,20.8850,-37.8320,33.7500
0.0029,-0.0880,-0.1150,1.2580,-13.0380,24.2440,-36.7940,33.7500
0.0033,-0.1040,-0.1110,1.2560,-18.3210,28.9620,-36.1680,33.7100
0.0038,-0.1250,-0.1110,1.2500,-24.8700,34.5500,-37.9540,33.6600
0.0042,-0.1290,-0.0680,1.1910,-35.8320,37.6790,-41.0230,33.8000
0.0047,-0.1390,-0.0360,1.1490,-27.8930,32.6720,-37.1450,33.8500
0.0051,-0.1640,-0.0860,1.1080,-11.8780,29.0230,-41.3440,33.7500
0.0059,-0.1670,-0.1200,1.0860,0.7180,22.3820,-36.9310,33.8000
0.0063,-0.1870,-0.1510,1.0760,1.0990,13.9390,-34.8240,33.7500
0.0067,-0.2080,-0.1680,1.0800,0.2750,10.4890,-31.0990,33.7100
0.0072,-0.2060,-0.1700,1.1290,-4.7180,8.8850,-31.1600,33.6600
0.0076,-0.2010,-0.1890,1.1520,-17.6790,10.7020,-32.4890,33.7500
0.0080,-0.1970,-0.1750,1.1270,-19.6180,7.8630,-28.6410,33.7100
0.0083,-0.1660,-0.1270,1.1460,-11.9540,7.0690,-28.6560,33.7500
0.0087,-0.1460,-0.1270,1.1390,-5.0690,4.9770,-31.0530,33.8000
0.0091,-0.1130,-0.1060,1.1330,2.1220,0.1680,-30.0460,33.7100
0.0094,-0.1210,-0.1430,1.1760,15.6640,-1.7560,-29.4200,33.6600
0.0098,-0.0880,-0.1330,1.2110,16.5500,0.2440,-28.2290,33.8000
0.0102,-0.0570,-0.1400,1.2210,10.2750,1.7400,-24.3050,33.6600
0.0105,-0.0660,-0.1660,1.2320,4.0310,6.3970,-23.3740,33.7100
0.0109,-0.0470,-0.1740,1.2290,-9.1450,14.3510,-22.7480,33.8000
0.0116,-0.0300,-0.1580,1.2210,-14.0610,17.9850,-20.5950,33.7500
0.0120,-0.0400,-0.1150,1.2340,-18.6110,21.7100,-23.5110,33.7100
0.0123,-0.0340,-0.0760,1.2070,-26.9770,24.1220,-22.1220,33.7500
0.0127,-0.0630,-0.0310,1.1660,-19.2520,22.3210,-24.9620,33.7500
0.0130,-0.0580,-0.0210,1.1450,-18.2290,24.1830,-33.5270,33.7100
0.0133,-0.0560,0.0050,1.1240,-9.3590,16.7480,-28.1070,33.6600
0.0134,-0.0640,-0.0510,1.1170,7.6950,13.5730,-34.3970,33.7100
0.0136,-0.0450,-0.0690,1.1420,13.9240,10.0150,-29.8930,33.7500
0.0141,-0.0510,-0.1110,1.1720,10.9920,8.8400,-31.9240,33.5700
0.0145,-0.0370,-0.1590,1.1860,5.2980,12.0460,-29.4810,33.8000
0.0149,-0.0600,-0.2450,1.2070,4.9470,14.9470,-24.1830,33.7500
0.0153,-0.0550,-0.2180,1.2020,2.4270,18.9470,-18.9620,33.8000
0.0156,-0.0170,-0.1660,1.1710,-7.4500,22.7020,-21.0230,33.7100
0.0160,-0.0200,-0.1640,1.1460,-26.4890,28.5800,-26.9010,33.7500
0.0165,0.0010,-0.0590,1.1510,-46.9010,32.0310,-34.4580,33.7100
0.0170,0.0110,-0.0010,1.1460,-50.3820,36.0920,-38.3210,33.6600
0.0174,0.0290,0.0480,1.1180,-43.8470,35.6030,-41.6490,33.8000
0.0177,0.0300,0.0260,1.0900,-28.9770,28.7180,-45.6790,33.7100
0.0180,-0.0270,-0.1040,1.0710,-1.6180,20.1070,-45.1760,33.7500
0.0183,-0.0390,-0.1230,1.0800,13.4500,12.2600,-39.3130,33.7100
0.0185,-0.0500,-0.1500,1.1150,19.4810,10.9770,-29.4960,33.6600
0.0187,-0.0490,-0.2250,1.2030,12.5340,4.7180,-28.0610,33.7100
0.0188,-0.0110,-0.2080,1.2330,9.2060,17.3740,-27.8630,33.7500
0.0189,0.0100,-0.1350,1.2610,-2.2900,20.7630,-22.6110,33.6600
0.0192,0.0280,-0.0820,1.2470,-9.9390,31.3130,-25.2370,33.7100
0.0195,0.0370,-0.0190,1.2150,-19.1300,36.6870,-27.8930,33.6600
0.0197,0.0310,-0.0100,1.1780,-21.9390,38.7480,-32.2440,33.7500
0.0199,0.0310,-0.0730,1.1430,-12.4270,38.3970,-32.9770,33.7100
0.0200,0.0280,-0.0920,1.1130,3.8470,29.1150,-26.9470,33.6600
0.0201,0.0310,-0.0780,1.1170,9.0380,30.2750,-26.0150,33.6100
0.0203,0.0250,-0.0550,1.1260,-0.4730,28.9920,-27.7250,33.7100
0.0205,-0.0020,-0.0240,1.1080,-0.7630,29.6950,-29.0080,33.8500
0.0209,-0.0230,-0.0750,1.0960,11.0840,27.5420,-30.7480,33.8000
0.0212,-0.0260,-0.0930,1.1490,16.8850,24.9010,-27.8170,33.7500
0.0215,-0.0230,-0.1250,1.1760,11.2210,24.4580,-25.6640,33.7100
0.0218,-0.0170,-0.1160,1.1980,4.5500,27.3130,-23.2520,33.7500
0.0223,-0.0220,-0.0860,1.2120,2.0760,36.6110,-23.0380,33.8500
0.0227,-0.0290,-0.0800,1.1640,-3.3130,34.1830,-23.9850,33.8000
0.0230,-0.0660,-0.0980,1.1320,3.8170,37.0230,-20.4890,33.7500
0.0233,-0.0730,-0.1160,1.1130,2.5950,35.9540,-17.8320,33.8000
0.0236,-0.0670,-0.1270,1.0930,0.0460,31.9540,-16.9770,33.7100
0.0238,-0.0390,-0.1260,1.0770,-4.4430,29.3890,-18.3360,33.7500
0.0241,-0.0170,-0.0930,1.0760,3.6950,20.9770,-12.7790,33.7100
0.0244,-0.0170,-0.1220,1.1090,15.5270,15.1600,-11.9850,33.6600
0.0247,-0.0260,-0.0960,1.1880,22.5950,10.1370,-11.9540,33.7500
0.0249,-0.0230,-0.0570,1.2030,26.7940,10.4120,-14.0920,33.8000
0.0252,-0.0310,-0.0270,1.1970,28.9010,14.6720,-18.3820,33.6600
0.0255,-0.0220,-0.0080,1.1960,26.5950,18.7180,-19.4050,33.7100
0.0258,-0.0170,0.0240,1.1690,8.0310,19.0990,-22.6260,33.6600
0.0260,-0.0300,0.0440,1.1280,-2.1370,19.0080,-25.4660,33.7500
0.0263,-0.0360,0.0360,1.1000,-9.4350,12.2440,-27.5110,33.8000
0.0266,-0.0390,0.0060,1.0780,-11.6030,9.1450,-28.7480,33.6600
0.0269,-0.0200,-0.0440,1.1100,-6.7330,6.1070,-27.2210,33.7100
0.0272,0.0050,-0.0850,1.1300,-4.6260,5.0690,-24.3970,33.8000
0.0274,0.0230,-0.0950,1.1560,-8.4430,4.5190,-25.8020,33.6600
0.0276,0.0500,-0.0470,1.2030,-2.7940,6.5190,-25.6640,33.7100
0.0277,0.0700,-0.0070,1.2060,-0.4430,7.9080,-28.7790,33.7500
0.0279,0.0640,0.0010,1.2410,-4.3660,7.2820,-31.7860,33.8000
0.0281,0.0730,-0.0150,1.2220,-7.5270,6.7020,-33.0990,33.8000
0.0283,0.0750,-0.0230,1.2300,-4.0460,4.8090,-34.3660,33.7500
0.0286,0.0870,-0.0250,1.2640,-7.0840,5.5880,-36.7630,33.6100
0.0289,0.0830,-0.0200,1.2580,-6.8090,5.8470,-38.1070,33.6600
0.0291,0.0770,-0.0090,1.2580,-3.7560,6.8400,-43.5880,33.7500
0.0294,0.0710,0.0010,1.2260,-4.8090,7.5570,-47.2210,33.7100
0.0296,0.0690,-0.0130,1.1790,-4.5950,6.6870,-52.6260,33.6600
0.0299,0.0490,-0.0870,1.1570,3.2980,4.0920,-52.9770,33.8000
0.0301,0.0210,-0.1790,1.1960,8.9770,3.8170,-50.7940,33.7500
0.0304,-0.0130,-0.2450,1.2980,6.0760,5.4050,-39.6950,33.6600
0.0306,-0.0050,-0.2410,1.3250,-2.3360,14.9770,-28.5040,33.8000
0.0308,0.0060,-0.1410,1.2530,-11.2520,26.8240,-20.9010,33.6600
0.0310,0.0300,-0.0490,1.1330,-14.1220,31.1150,-19.2820,33.7100
0.0312,0.0460,0.0020,1.0360,-13.4350,26.8700,-23.1910,33.7100
0.0314,0.0720,0.0350,1.0120,-14.9310,16.2600,-29.1760,33.6600
0.0317,0.0860,0.0300,1.0270,-11.6790,8.2440,-38.4270,33.7100
0.0319,0.0900,0.0230,1.1050,-8.3050,5.6950,-41.7560,33.7500
0.0322,0.0850,-0.0330,1.1260,-2.1830,7.2670,-46.8240,33.7500
0.0324,0.0690,-0.0370,1.1740,-1.0840,7.5880,-51.5880,33.7100
0.0327,0.0680,-0.0470,1.1750,0.0000,7.1760,-51.5110,33.6600
0.0329,0.0620,-0.0990,1.1740,3.6180,6.7020,-50.3820,33.7100
0.0331,0.0370,-0.1410,1.1650,0.2440,7.6340,-46.2440,33.8500
0.0334,0.0470,-0.1320,1.1690,-5.6950,8.8550,-41.4350,33.7500
0.0336,0.0490,-0.1090,1.1700,-11.4200,10.2140,-39.7100,33.6600
0.0339,0.0590,-0.0970,1.1990,-14.9920,9.7860,-40.9470,33.7500
0.0341,0.0520,-0.0890,1.2040,-16.1370,11.4810,-43.2210,33.7100
0.0344,0.0540,-0.0790,1.2170,-12.3510,15.1910,-45.8930,33.8000
0.0346,0.0600,-0.0310,1.2110,-11.9690,19.4350,-48.4730,33.7500
0.0349,0.0490,-0.0390,1.1600,-7.5880,19.2520,-50.4120,33.7100
0.0351,0.0230,-0.0580,1.1310,-1.9540,17.1600,-54.1830,33.7500
0.0353,0.0020,-0.1110,1.1460,0.0760,11.7250,-55.5730,33.6100
0.0354,-0.0150,-0.1680,1.1900,-3.7400,11.8170,-53.8320,33.8000
0.0356,-0.0250,-0.1540,1.2220,-12.1220,22.3360,-49.8170,33.7500
0.0357,0.0340,-0.1340,1.2010,-27.4960,9.2060,-44.6720,33.8000
0.0360,0.0260,-0.1220,1.1830,-6.2900,20.5950,-41.4660,33.7500
0.0362,0.0130,-0.1230,1.1820,-7.5730,17.5270,-44.0310,33.8000
0.0364,0.0170,-0.0920,1.1600,-7.5420,18.7330,-46.4430,33.7500
0.0366,0.0140,-0.0900,1.1910,-7.0990,8.5190,-46.6410,33.7500
0.0368,0.0150,-0.0990,1.2260,-2.7630,8.7940,-47.9850,33.7100
0.0371,0.0210,-0.1050,1.2500,-7.3440,9.3590,-49.9850,33.7500
0.0373,0.0150,-0.1130,1.2650,-10.9920,11.4960,-49.2520,33.7500
0.0375,0.0200,-0.1350,1.2550,-6.1680,13.8170,-47.4500,33.8000
0.0377,0.0220,-0.1640,1.2400,0.6110,12.5340,-45.6790,33.7500
0.0379,0.0300,-0.1550,1.2350,2.9010,15.0530,-42.5500,33.8000
0.0382,0.0330,-0.1360,1.2400,-4.0610,17.1760,-36.5190,33.7500
0.0385,0.0250,-0.1260,1.2540,-7.9390,19.9690,-33.7860,33.8500
0.0388,0.0470,-0.0930,1.2230,-0.7790,21.7250,-33.9850,33.7100
0.0390,0.0460,-0.0840,1.2520,4.7020,21.5880,-38.8090,33.7500
0.0392,0.0370,-0.0960,1.2310,10.7180,21.3890,-39.8630,33.7100
0.0394,0.0440,-0.0860,1.1960,10.1370,23.5110,-41.4050,33.7500
0.0396,0.0320,-0.1090,1.1620,5.0530,21.5270,-42.8550,33.7500
0.0399,0.0160,-0.1080,1.1290,3.1150,19.5570,-44.4730,33.7100
0.0401,0.0100,-0.0830,1.1180,-2.8850,15.9390,-43.4960,33.7500
0.0403,0.0080,-0.0590,1.1160,-9.4200,15.2670,-45.7560,33.8000
0.0405,0.0070,-0.0520,1.1240,-13.9540,14.7330,-48.0920,33.8000
0.0408,0.0130,-0.0610,1.1440,-9.0230,13.2820,-47.3440,33.7500
0.0410,0.0170,-0.0990,1.1680,-3.4500,12.3820,-48.4890,33.7100
0.0411,0.0370,-0.1130,1.1960,1.8630,13.3280,-48.3660,33.7500
0.0413,0.0400,-0.0960,1.1980,3.4660,17.4350,-45.9540,33.6600
0.0414,0.0480,-0.1010,1.1430,-3.3440,21.5730,-47.9240,33.8900
0.0415,0.0440,-0.1090,1.1330,-4.3210,20.2900,-48.2290,33.8500
0.0417,0.0480,-0.0900,1.1460,-4.2440,17.9390,-46.4890,33.7100
0.0418,0.0420,-0.0940,1.1600,-3.8780,15.8020,-44.5500,33.7500
0.0420,0.0520,-0.0880,1.1790,-5.3590,18.3970,-46.8850,33.8500
0.0421,0.0550,-0.0680,1.1770,-10.5340,20.3820,-47.8470,33.8000
0.0423,0.0530,-0.0840,1.1640,-1.5110,20.7330,-47.1450,33.6600
0.0424,0.0510,-0.1060,1.1470,3.3890,19.2370,-47.9690,33.7100
0.0425,0.0540,-0.0970,1.1570,-2.4890,16.4270,-49.4050,33.7100
0.0427,0.0490,-0.1070,1.1560,-2.3820,16.9160,-50.5500,33.8500
0.0428,0.0430,-0.1420,1.1670,3.5110,18.1070,-48.9470,33.8000
0.0429,0.0460,-0.0920,1.1840,2.0310,20.8850,-43.0840,33.8000
0.0431,0.0500,-0.1010,1.2120,11.3130,21.6180,-40.8850,33.7500
0.0433,0.0350,-0.0770,1.2040,4.3510,23.4050,-41.4350,33.7500
0.0435,0.0390,-0.0520,1.2050,-2.9160,25.7560,-42.8090,33.7500
0.0438,0.0380,-0.0390,1.1780,-0.0920,27.6340,-48.2440,33.7500
0.0489,0.0350,-0.0470,1.1670,1.4200,25.9540,-50.1370,33.7100
0.0612,0.0180,-0.1060,1.1620,3.1150,24.1680,-51.0230,33.6100
0.0679,0.0210,-0.1350,1.1650,-4.3050,22.3210,-52.5500,33.7500
0.0803,0.0050,-0.1460,1.1560,-8.7480,21.0530,-50.9310,33.7100
0.0925,0.0130,-0.1410,1.1660,-7.2060,21.7400,-49.3280,33.7500
0.0993,0.0270,-0.1090,1.1840,-9.4350,22.1220,-49.0990,33.6100
0.1115,0.0350,-0.0930,1.1850,-11.1300,23.0990,-49.8470,33.6100
0.1183,0.0450,-0.0840,1.1580,-8.4580,21.7250,-50.2440,33.7500
0.1301,0.0470,-0.0780,1.1570,1.4660,18.4270,-49.5570,33.8000
0.1425,0.0450,-0.1050,1.1510,6.3510,16.6410,-49.8630,33.6600
0.1495,0.0770,-0.0960,1.1600,1.2210,11.9390,-49.6490,33.6600
0.1618,0.0540,-0.1110,1.1990,7.4350,14.8700,-47.4350,33.7500
0.1689,0.0610,-0.1080,1.2230,7.8470,15.6180,-47.1600,33.7500
0.1812,0.0640,-0.1200,1.2270,7.0080,18.6560,-47.6340,33.8000
0.1877,0.0750,-0.0960,1.2360,1.5270,19.6640,-48.1980,33.6600
0.2002,0.0750,-0.0920,1.2140,4.8550,21.9240,-45.6640,33.7500
0.2123,0.0710,-0.1200,1.2220,3.5110,23.6950,-47.6030,33.7100
