Time,AX,AY,AZ,GX,GY,GZ,T
0.0272,0.0100,-0.0960,1.1760,5.3590,19.0080,-47.5270,33.9400
0.0274,0.0300,-0.1050,1.1580,11.2980,16.4730,-49.8020,33.9900
0.0277,0.0220,-0.0960,1.1560,9.5880,12.8090,-52.1680,33.9400
0.0280,0.0280,-0.0900,1.1790,6.9470,12.2440,-52.8550,33.8900
0.0283,0.0160,-0.0960,1.2150,11.0840,11.7100,-52.8400,33.8900
0.0285,0.0090,-0.1150,1.2280,11.5880,18.3360,-51.6180,33.9400
0.0288,-0.0010,-0.1080,1.2190,5.6340,17.2060,-49.8630,33.8900
0.0291,-0.0050,-0.1040,1.1830,4.9620,17.4810,-48.2750,33.9400
0.0294,-0.0000,-0.1060,1.1330,8.6260,19.6640,-48.4730,33.9900
0.0297,0.0030,-0.1040,1.1070,8.0760,19.0380,-51.1910,33.9400
0.0299,0.0020,-0.0950,1.0910,-0.4270,14.0760,-54.4270,33.9400
0.0302,-0.0070,-0.0920,1.1150,-2.7180,10.0000,-56.9310,33.8900
0.0304,-0.0120,-0.0980,1.1660,1.6640,5.9690,-56.2440,33.9400
0.0311,-0.0040,-0.0850,1.1830,7.1600,5.2370,-55.1150,33.9400
0.0314,-0.0030,-0.0840,1.1850,8.9770,6.6720,-54.4270,33.8900
0.0317,0.0050,-0.0940,1.1840,8.8850,8.1830,-54.0460,33.9400
0.0319,0.0210,-0.0910,1.1600,8.3970,8.4890,-52.9470,33.9900
0.0322,0.0180,-0.1030,1.1450,11.3740,6.7330,-52.3970,33.9900
0.0324,0.0260,-0.1020,1.1690,17.2520,4.5500,-52.1530,33.8500
0.0326,0.0210,-0.1030,1.2040,16.3820,3.8470,-51.5420,33.8900
0.0329,0.0300,-0.1030,1.2260,13.9390,6.1830,-49.8930,33.9400
0.0331,0.0370,-0.0950,1.2170,11.8930,12.4580,-48.0610,33.8500
0.0334,0.0460,-0.0820,1.2130,4.8240,16.6720,-48.3050,33.8900
0.0336,0.0620,-0.0520,1.1580,-1.6030,20.0310,-49.3130,33.9400
0.0339,0.0640,-0.0280,1.1380,2.9920,19.3440,-48.2290,33.8900
0.0341,0.0690,-0.0110,1.1000,14.1530,17.3280,-46.6260,33.8900
0.0344,0.0740,-0.0210,1.0970,11.9240,16.0610,-51.7100,33.8500
0.0346,0.0640,-0.0350,1.0980,0.7940,13.0990,-51.7400,33.9900
0.0349,0.0630,-0.0120,1.1280,-3.4960,13.8020,-50.7630,33.9400
0.0351,0.0660,0.0050,1.1790,-6.4430,15.6180,-51.6640,33.8500
0.0354,0.0660,-0.0040,1.1910,-6.7020,18.2900,-49.0990,33.8900
0.0356,0.0630,-0.0240,1.1830,-9.9240,21.0990,-49.9390,33.9400
0.0359,0.0640,-0.0220,1.1800,-10.7630,22.7330,-51.1450,33.8900
0.0361,0.0690,-0.0300,1.1590,-7.9850,22.8400,-52.6260,33.9900
0.0363,0.0630,-0.0450,1.1430,-5.5730,21.3740,-52.7630,33.9400
0.0365,0.0490,-0.0670,1.1610,-6.0920,19.5570,-52.1070,33.9900
0.0368,0.0520,-0.0540,1.1960,-9.8170,19.7560,-51.2670,33.9400
0.0370,0.0500,-0.0510,1.2250,-12.3820,22.2600,-52.0310,33.8900
0.0372,0.0350,-0.0720,1.2280,-13.2210,25.0990,-52.7330,33.8900
0.0374,0.0280,-0.0820,1.2250,-12.4270,28.2140,-51.9390,33.9400
0.0377,0.0250,-0.0990,1.1870,-8.0150,27.9080,-50.0310,33.9900
0.0379,0.0190,-0.1140,1.1540,-3.6180,26.2750,-50.4430,33.9400
0.0381,0.0120,-0.1480,1.1460,3.2670,21.8170,-46.5040,33.9400
0.0383,0.0140,-0.1610,1.1300,5.1150,18.3510,-44.7180,33.8900
0.0386,0.0160,-0.1540,1.1600,0.8700,15.8020,-42.8850,33.9400
0.0388,0.0150,-0.1360,1.1770,1.5110,15.5880,-36.9770,33.8900
0.0392,0.0300,-0.0860,1.1860,0.3970,18.0610,-34.7940,33.8900
0.0394,0.0350,-0.0580,1.1860,-1.5570,18.8090,-32.3820,33.8500
0.0396,0.0430,-0.0330,1.1620,3.5110,17.1150,-28.9620,33.8900
0.0398,0.0310,-0.0450,1.1660,6.0760,15.6340,-32.5650,33.8900
0.0400,0.0340,-0.0560,1.1720,9.1300,14.5650,-36.1680,33.9400
0.0403,0.0370,-0.0500,1.1990,4.5190,16.1220,-40.7020,33.9900
0.0405,0.0400,-0.0520,1.2080,-2.0310,19.1300,-43.9690,33.9400
0.0407,0.0320,-0.0600,1.1980,-6.3210,22.5800,-44.6560,33.9400
0.0409,0.0390,-0.0630,1.1810,-5.5730,23.0080,-42.6110,33.8500
0.0412,0.0500,-0.0620,1.1600,-2.9920,22.0920,-41.8470,33.8500
0.0414,0.0590,-0.0410,1.1350,-4.0760,20.8090,-43.7710,33.8900
0.0416,0.0610,-0.0510,1.1540,-3.9850,19.0380,-44.2440,33.9400
0.0418,0.0600,-0.0660,1.1670,-3.9690,17.7710,-45.3740,33.8500
0.0419,0.0710,-0.0520,1.1950,-6.3050,18.3660,-45.7400,33.8900
0.0420,0.0640,-0.0490,1.2190,-5.0990,20.5650,-44.7330,33.9400
0.0422,0.0620,-0.0500,1.2200,-3.0840,22.6260,-44.9470,33.9900
0.0423,0.0470,-0.0680,1.2170,-1.4050,25.0380,-44.1980,33.8900
0.0425,0.0410,-0.0870,1.1740,-2.9160,26.7630,-44.3510,33.8500
0.0426,0.0460,-0.0760,1.1530,-3.8780,25.5730,-44.8400,33.9900
0.0427,0.0310,-0.0940,1.1290,-2.1070,24.4580,-44.9920,33.9400
0.0429,0.0300,-0.0950,1.1390,-4.7480,21.3890,-44.8090,33.9400
0.0430,0.0250,-0.0810,1.1510,-6.6110,18.6870,-45.2980,34.0400
