AX,AY,AZ,GX,GY,GZ
0.156,0.021,1.211,-6.710,23.008,-43.595
0.148,0.024,1.210,-6.626,22.405,-41.954
0.151,0.027,1.220,-6.573,22.053,-40.763
0.163,0.038,1.252,-6.771,20.405,-40.084
0.164,0.055,1.286,-6.344,17.687,-38.809
0.170,0.046,1.326,-6.229,14.870,-37.840
0.174,0.047,1.383,-5.122,10.053,-37.153
0.186,0.046,1.434,-3.817,4.916,-36.237
0.224,0.052,1.511,-1.443,-0.664,-37.160
0.247,0.057,1.559,2.130,-5.336,-38.382
0.273,0.065,1.601,6.534,-5.313,-37.878
0.290,0.055,1.649,12.191,-2.351,-35.702
0.315,0.027,1.713,18.466,-0.542,-36.595
0.313,0.025,1.747,26.153,1.511,-39.298
0.284,0.027,1.770,34.687,-0.305,-39.794
0.269,0.042,1.771,42.504,-2.756,-40.962
0.244,0.037,1.782,51.198,-4.908,-42.366
0.229,0.033,1.803,61.351,-9.649,-42.740
0.223,0.019,1.795,71.565,-13.634,-42.351
0.236,0.008,1.788,80.878,-17.420,-42.290
0.275,0.014,1.747,90.168,-19.450,-43.023
0.325,0.030,1.687,99.786,-18.939,-43.802
0.348,0.052,1.626,109.130,-15.756,-46.206
0.340,0.085,1.542,118.023,-11.382,-47.359
0.325,0.109,1.448,124.626,-7.496,-48.160
0.313,0.135,1.355,129.290,-4.435,-49.305
0.313,0.162,1.264,131.977,-2.069,-50.931
0.286,0.174,1.212,132.557,-1.687,-51.733
0.239,0.193,1.163,133.084,-4.153,-52.328
0.198,0.202,1.096,133.015,-8.130,-52.099
0.171,0.204,1.021,132.122,-13.992,-50.885
0.172,0.208,0.976,131.023,-17.588,-49.275
0.192,0.208,0.913,129.809,-18.389,-47.733
0.216,0.215,0.843,128.107,-16.244,-46.924
0.236,0.230,0.775,126.473,-10.611,-46.366
0.247,0.243,0.681,123.733,-2.763,-45.427
0.244,0.267,0.638,118.687,3.092,-44.794
0.242,0.286,0.573,111.611,8.473,-42.359
0.247,0.306,0.526,103.725,14.748,-39.947
0.252,0.311,0.495,95.496,17.458,-38.924
0.263,0.312,0.438,86.573,22.603,-38.321
0.243,0.330,0.432,78.260,25.153,-37.947
0.225,0.345,0.404,69.473,24.763,-37.435
0.204,0.342,0.407,61.183,22.969,-38.191
0.192,0.358,0.399,53.053,17.779,-38.107
0.210,0.359,0.375,44.046,14.649,-36.000
0.246,0.359,0.367,35.229,13.573,-34.336
0.286,0.353,0.373,27.641,14.389,-35.573
0.319,0.356,0.363,20.878,18.137,-38.779
0.321,0.366,0.360,14.580,22.427,-41.870
0.307,0.382,0.358,7.198,26.321,-43.176
0.282,0.402,0.350,-0.947,30.328,-43.130
0.264,0.396,0.369,-8.191,33.282,-43.901
0.269,0.394,0.375,-15.221,35.176,-45.374
0.271,0.390,0.390,-22.947,38.435,-46.733
0.256,0.397,0.415,-30.214,39.718,-47.466
0.237,0.397,0.430,-37.321,41.412,-47.977
0.214,0.405,0.478,-44.427,40.824,-48.489
0.204,0.416,0.508,-51.496,38.702,-48.374
0.199,0.427,0.560,-57.344,35.817,-46.718
0.211,0.415,0.620,-62.908,34.145,-44.443
0.243,0.402,0.668,-66.763,34.359,-43.435
0.266,0.385,0.715,-68.893,36.863,-43.115
0.279,0.384,0.733,-72.160,40.191,-43.733
0.280,0.395,0.774,-76.649,42.763,-45.023
0.261,0.401,0.851,-79.977,41.198,-45.893
0.251,0.369,0.893,-81.504,39.313,-45.504
0.274,0.332,0.937,-82.244,37.634,-46.672
0.295,0.312,0.948,-83.160,37.710,-49.328
0.282,0.321,0.956,-84.275,38.618,-51.954
0.257,0.333,0.971,-86.000,40.603,-52.695
0.209,0.351,1.000,-88.374,41.069,-51.687
0.180,0.358,1.048,-91.992,37.893,-49.397
0.182,0.342,1.083,-93.885,35.550,-44.557
