AX,AY,AZ,GX,GY,GZ
0.099,0.081,1.269,-142.557,41.740,-44.076
0.119,0.044,1.323,-137.885,33.000,-46.450
0.127,0.007,1.407,-129.443,23.977,-52.160
0.122,0.003,1.430,-117.870,17.344,-56.924
0.132,0.021,1.423,-106.069,18.313,-57.458
0.148,0.031,1.413,-97.458,25.137,-55.466
0.144,0.035,1.430,-93.878,30.824,-50.412
0.147,0.020,1.450,-92.313,36.275,-47.924
0.125,0.011,1.481,-92.588,37.863,-46.511
0.135,0.001,1.527,-92.313,35.031,-45.786
0.186,-0.021,1.540,-89.687,36.962,-45.847
0.227,-0.029,1.562,-84.374,41.389,-47.412
0.205,-0.035,1.592,-76.656,43.863,-49.420
0.144,-0.035,1.628,-67.924,40.733,-50.565
0.116,-0.040,1.623,-58.519,35.626,-50.565
0.126,-0.042,1.583,-50.695,34.840,-48.053
0.169,-0.030,1.571,-44.924,34.160,-45.786
0.201,-0.019,1.538,-40.450,35.137,-46.366
0.213,-0.007,1.492,-37.122,36.931,-47.351
0.207,-0.004,1.463,-34.771,38.893,-47.969
0.175,-0.004,1.452,-33.260,38.824,-49.115
0.133,-0.005,1.434,-31.282,34.901,-50.496
0.110,-0.005,1.400,-29.366,30.802,-49.191
0.113,-0.016,1.383,-27.718,28.359,-47.931
0.121,-0.043,1.398,-24.718,26.282,-48.237
0.122,-0.058,1.361,-21.412,25.649,-48.252
0.125,-0.057,1.346,-19.069,26.603,-47.519
0.129,-0.065,1.345,-16.588,27.221,-47.244
0.111,-0.058,1.343,-14.420,25.962,-47.137
0.101,-0.062,1.306,-11.847,23.847,-46.847
0.122,-0.059,1.299,-8.985,23.634,-46.275
0.154,-0.054,1.262,-6.786,26.153,-45.855
0.150,-0.053,1.251,-5.832,28.084,-46.702
0.128,-0.043,1.243,-4.924,27.397,-47.534
0.102,-0.044,1.233,-5.321,26.000,-47.992
0.082,-0.055,1.235,-5.183,23.046,-47.420
0.083,-0.056,1.219,-4.916,21.015,-47.511
0.087,-0.064,1.225,-3.573,19.511,-47.397
0.093,-0.062,1.214,-2.084,19.244,-47.427
0.089,-0.066,1.215,-0.779,20.603,-46.580
0.085,-0.071,1.206,0.290,21.756,-46.053
0.074,-0.066,1.203,1.550,21.580,-46.122
0.081,-0.062,1.199,1.771,21.038,-45.588
0.098,-0.059,1.190,0.901,20.305,-45.076
0.113,-0.054,1.177,0.359,21.290,-45.092
0.112,-0.058,1.184,-0.198,22.244,-45.191
0.106,-0.067,1.186,0.046,22.710,-45.573
0.092,-0.068,1.182,0.740,21.832,-46.031
0.087,-0.072,1.168,1.305,21.427,-45.847
0.081,-0.068,1.168,2.198,20.695,-45.771
0.079,-0.060,1.156,2.458,20.061,-45.573
0.073,-0.050,1.142,2.168,19.916,-45.260
0.093,-0.052,1.138,1.557,20.366,-44.870
0.099,-0.049,1.148,1.122,20.649,-44.779
0.096,-0.059,1.127,0.351,21.023,-44.603
0.089,-0.058,1.137,-0.519,20.817,-43.908
0.090,-0.061,1.133,-1.626,21.275,-43.931
0.087,-0.067,1.146,-2.985,20.489,-44.527
0.080,-0.068,1.135,-3.794,19.260,-44.504
0.081,-0.070,1.136,-4.313,19.015,-43.870
0.096,-0.080,1.155,-4.366,19.115,-43.504
0.106,-0.079,1.151,-3.924,19.740,-43.824
0.111,-0.072,1.151,-3.580,20.282,-43.038
0.122,-0.081,1.154,-3.664,20.832,-42.504
0.122,-0.089,1.152,-3.198,20.878,-43.763
0.113,-0.079,1.155,-3.313,21.031,-43.931
0.106,-0.084,1.155,-3.733,20.450,-43.550
0.115,-0.076,1.142,-4.435,19.733,-43.542
0.108,-0.074,1.141,-5.496,19.069,-43.664
0.110,-0.071,1.147,-6.443,19.611,-43.504
