AX,AY,AZ,GX,GY,GZ
0.110,-0.037,1.155,-5.214,20.076,-43.145
0.132,-0.038,1.149,-5.069,20.557,-42.588
0.152,-0.035,1.145,-5.084,21.397,-42.450
0.148,-0.030,1.138,-5.557,21.695,-42.649
0.133,-0.033,1.152,-6.573,21.168,-42.481
0.121,-0.035,1.161,-7.046,20.198,-42.092
0.139,-0.043,1.162,-6.947,19.603,-42.008
0.143,-0.047,1.154,-6.458,20.244,-42.397
0.149,-0.043,1.166,-5.817,21.382,-42.366
0.140,-0.040,1.162,-5.237,22.023,-42.466
0.131,-0.035,1.149,-5.832,22.435,-42.443
0.137,-0.026,1.150,-6.496,22.267,-41.992
0.144,-0.030,1.159,-6.969,21.107,-42.122
0.137,-0.034,1.180,-7.489,20.397,-42.901
0.124,-0.040,1.200,-7.641,18.191,-42.519
0.121,-0.048,1.206,-7.527,15.710,-41.786
0.136,-0.048,1.216,-7.840,15.374,-40.939
0.153,-0.039,1.255,-8.519,15.099,-39.954
0.181,-0.032,1.292,-8.916,15.939,-39.725
0.195,-0.035,1.359,-8.519,17.397,-42.137
0.144,-0.017,1.437,-6.183,16.122,-42.885
0.115,-0.018,1.497,-3.885,16.069,-38.855
0.110,-0.031,1.595,-2.710,12.099,-35.351
0.113,-0.031,1.689,-0.580,4.260,-35.374
0.131,-0.024,1.758,1.176,-2.366,-33.504
0.199,-0.048,1.832,3.534,-2.855,-30.366
0.256,-0.085,1.934,10.817,0.115,-30.656
0.296,-0.110,1.948,21.947,5.443,-31.344
0.302,-0.121,2.000,39.412,15.435,-32.168
0.266,-0.113,2.000,57.748,22.260,-32.305
0.222,-0.066,2.000,74.779,19.710,-34.389
0.145,-0.022,1.982,87.511,10.863,-35.397
0.114,-0.021,1.948,97.412,-5.634,-36.015
0.121,-0.025,1.865,105.939,-22.733,-37.298
0.173,-0.025,1.802,113.916,-35.000,-38.710
0.239,-0.015,1.700,120.863,-39.763,-40.137
0.295,-0.003,1.607,128.466,-36.672,-42.000
0.292,0.019,1.515,135.725,-32.710,-44.084
0.262,0.032,1.451,140.786,-27.672,-45.458
0.254,0.043,1.362,145.107,-24.305,-45.802
0.219,0.045,1.254,146.435,-20.290,-45.130
0.159,0.024,1.227,148.168,-23.260,-44.649
0.136,0.004,1.158,150.603,-28.046,-44.908
0.140,-0.013,1.080,152.573,-31.244,-45.901
0.171,0.005,0.998,154.160,-32.817,-47.099
0.203,0.031,0.896,155.527,-28.450,-48.366
0.209,0.054,0.811,156.267,-22.137,-48.855
0.208,0.081,0.745,156.595,-15.290,-48.908
0.201,0.096,0.632,155.748,-5.076,-48.298
0.200,0.129,0.565,152.252,7.099,-45.992
0.194,0.150,0.485,146.511,11.000,-43.061
0.191,0.191,0.381,138.405,17.496,-40.794
0.181,0.219,0.367,127.954,23.046,-38.672
0.183,0.242,0.347,116.153,21.382,-38.420
0.151,0.250,0.321,102.229,17.366,-38.687
0.146,0.250,0.336,88.687,10.763,-38.939
0.168,0.256,0.319,76.511,4.420,-40.183
0.199,0.264,0.313,66.260,1.229,-42.305
0.237,0.278,0.298,57.412,3.389,-44.550
0.253,0.291,0.292,49.092,8.603,-45.076
0.264,0.318,0.263,41.878,17.290,-45.626
0.264,0.333,0.248,34.771,25.580,-45.656
0.268,0.368,0.262,25.359,32.771,-45.153
0.299,0.385,0.236,15.718,40.115,-44.115
0.309,0.385,0.244,5.710,46.588,-44.771
0.299,0.390,0.249,-3.908,49.969,-47.229
0.254,0.389,0.288,-13.924,48.985,-50.252
0.206,0.392,0.318,-22.878,43.908,-52.237
0.174,0.403,0.347,-32.458,35.435,-53.565
0.184,0.419,0.374,-40.412,29.145,-53.244
0.217,0.438,0.391,-47.794,28.710,-51.336
0.261,0.432,0.415,-55.557,32.336,-51.137
0.271,0.430,0.475,-62.725,35.901,-52.458
0.250,0.426,0.501,-70.176,40.031,-51.969
0.235,0.426,0.556,-77.534,43.931,-49.748
0.238,0.397,0.609,-83.550,45.137,-48.527
0.243,0.387,0.633,-88.649,47.687,-48.298
0.233,0.371,0.702,-94.359,46.443,-49.160
0.240,0.357,0.762,-100.145,43.550,-50.863
0.234,0.335,0.808,-104.359,39.366,-53.496
0.232,0.303,0.890,-103.947,32.931,-56.885
0.217,0.285,0.916,-107.191,28.863,-59.985
0.215,0.277,0.925,-104.740,28.939,-60.466
