AX,AY,AZ,GX,GY,GZ
-0.167,-0.113,1.201,-14.092,28.031,-93.206
-0.143,-0.112,1.213,-14.031,25.145,-91.557
-0.128,-0.095,1.216,-12.382,24.107,-90.649
-0.136,-0.081,1.244,-9.489,23.275,-88.794
-0.146,-0.076,1.232,-5.420,23.206,-85.504
-0.138,-0.080,1.208,-2.473,25.580,-81.672
-0.110,-0.071,1.203,-1.076,27.420,-77.443
-0.094,-0.052,1.170,-1.519,33.168,-73.656
-0.075,-0.024,1.157,-3.458,37.908,-70.664
-0.087,0.003,1.160,-5.214,41.000,-68.153
-0.090,0.012,1.175,-5.802,42.061,-65.176
-0.112,-0.000,1.184,-5.916,39.710,-62.779
-0.098,-0.025,1.184,-4.695,36.275,-60.893
-0.097,-0.038,1.199,-2.824,32.328,-59.893
-0.095,-0.037,1.187,0.023,28.290,-60.313
-0.110,-0.016,1.190,0.969,22.885,-59.473
-0.118,-0.018,1.177,1.008,17.885,-57.992
-0.104,-0.015,1.170,0.420,13.870,-55.679
-0.060,-0.016,1.165,-0.595,13.649,-52.992
-0.023,-0.015,1.171,-0.496,16.130,-50.282
-0.007,-0.007,1.139,-0.656,20.565,-48.687
-0.009,-0.013,1.148,-0.557,24.511,-46.916
-0.008,-0.002,1.152,-0.847,26.153,-44.733
0.003,0.002,1.145,-1.977,27.771,-43.008
0.028,0.010,1.139,-3.321,28.573,-41.947
0.029,0.013,1.158,-4.176,27.565,-42.183
0.031,0.008,1.156,-4.015,25.817,-42.832
0.020,-0.006,1.158,-3.931,23.954,-43.260
0.017,-0.012,1.169,-3.702,19.824,-43.733
0.013,-0.005,1.144,-3.588,17.802,-43.298
0.025,-0.009,1.156,-3.321,17.153,-42.321
0.052,-0.011,1.141,-2.863,16.634,-41.802
0.066,-0.006,1.133,-2.832,18.397,-41.550
0.062,-0.009,1.135,-3.565,19.374,-40.893
0.057,-0.014,1.138,-4.382,20.511,-39.840
0.059,-0.014,1.147,-4.618,21.588,-38.908
0.079,-0.012,1.151,-5.137,21.878,-38.176
0.098,-0.021,1.157,-5.267,22.420,-37.237
0.108,-0.025,1.161,-4.664,23.634,-37.916
0.105,-0.028,1.160,-3.656,23.664,-38.893
0.100,-0.024,1.169,-3.504,23.427,-39.374
0.113,-0.023,1.177,-3.939,23.466,-38.809
0.121,-0.024,1.172,-4.275,24.000,-39.015
0.132,-0.029,1.176,-3.901,23.878,-39.611
0.136,-0.022,1.174,-3.618,23.710,-40.947
0.112,-0.016,1.159,-3.885,23.779,-42.084
0.093,-0.011,1.176,-4.595,21.756,-42.282
0.103,-0.015,1.175,-5.130,19.985,-41.908
0.114,-0.022,1.183,-5.015,19.023,-41.863
0.123,-0.026,1.163,-4.435,18.954,-42.450
0.114,-0.016,1.167,-5.076,20.763,-42.710
0.108,-0.004,1.179,-4.832,21.634,-41.863
0.112,-0.003,1.170,-5.328,22.015,-41.427
0.103,-0.024,1.180,-5.099,20.679,-41.611
0.096,-0.037,1.182,-5.420,18.687,-41.824
0.115,-0.033,1.188,-5.305,18.305,-41.863
0.128,-0.044,1.197,-4.252,18.794,-42.206
0.135,-0.064,1.190,-2.702,18.351,-43.344
0.134,-0.053,1.183,-1.817,21.008,-43.351
0.119,-0.047,1.185,-1.244,22.305,-43.893
0.115,-0.032,1.183,-0.687,22.344,-44.443
0.101,-0.025,1.184,-0.580,22.046,-44.382
0.099,-0.026,1.190,-0.626,21.595,-43.740
0.106,-0.034,1.177,-0.374,21.641,-43.275
0.119,-0.036,1.167,0.374,22.321,-42.908
0.125,-0.031,1.161,0.664,24.015,-42.496
0.130,-0.015,1.159,0.985,25.427,-42.794
0.114,-0.008,1.162,0.977,25.885,-43.634
0.103,-0.012,1.150,0.443,24.481,-43.901
0.100,-0.008,1.135,-0.290,22.725,-44.267
0.090,-0.006,1.149,-1.076,21.641,-43.855
0.100,-0.010,1.143,-1.573,19.924,-43.328
0.123,-0.019,1.142,-2.275,20.313,-43.351
0.134,-0.025,1.146,-2.710,21.435,-44.267
0.123,-0.022,1.143,-2.504,22.702,-44.924
0.099,-0.011,1.151,-2.473,22.382,-45.153
0.079,-0.013,1.156,-2.817,21.038,-45.214
0.068,-0.025,1.155,-2.924,19.260,-45.244
0.065,-0.027,1.153,-3.275,17.130,-44.878
0.068,-0.035,1.169,-4.092,16.023,-44.366
0.072,-0.039,1.171,-3.931,16.092,-43.786
0.072,-0.032,1.174,-3.992,17.573,-43.321
0.083,-0.034,1.183,-3.137,18.985,-42.412
0.090,-0.030,1.184,-2.786,21.275,-42.191
0.081,-0.041,1.189,-1.534,22.321,-42.412
0.066,-0.050,1.190,-0.618,21.725,-41.527
0.070,-0.051,1.188,0.473,21.252,-41.260
0.078,-0.045,1.177,1.260,20.542,-41.282
0.079,-0.034,1.164,1.649,20.908,-41.260
0.078,-0.028,1.158,0.832,21.092,-41.198
0.084,-0.018,1.156,-0.603,21.389,-41.412
0.061,-0.017,1.160,-1.473,20.580,-41.992
0.035,-0.023,1.174,-1.878,18.748,-42.107
0.045,-0.036,1.189,-1.099,16.252,-41.084
0.059,-0.042,1.178,0.313,15.046,-40.473
0.072,-0.042,1.178,1.603,16.985,-39.824
0.092,-0.028,1.163,2.206,19.145,-38.473
0.096,-0.011,1.147,1.496,21.817,-37.779
0.085,-0.003,1.154,-0.145,23.817,-37.939
0.064,-0.001,1.164,-1.221,22.939,-38.382
0.034,-0.008,1.176,-1.870,20.824,-38.977
0.030,-0.021,1.193,-1.328,17.298,-39.840
0.028,-0.024,1.183,0.267,14.206,-40.931
0.016,-0.016,1.172,2.092,12.466,-40.939
0.008,-0.010,1.162,2.427,12.115,-40.718
-0.009,-0.011,1.159,1.519,11.336,-40.725
-0.034,0.001,1.156,-0.267,10.137,-40.779
-0.072,-0.000,1.160,-2.092,8.412,-41.153
-0.125,-0.020,1.173,-3.023,5.695,-40.489
-0.155,-0.030,1.184,-2.672,1.221,-38.282
-0.166,-0.041,1.186,-2.450,-3.198,-33.221
-0.119,-0.046,1.185,-2.450,-2.771,-26.924
-0.035,-0.037,1.176,-2.847,3.305,-21.176
0.016,-0.015,1.155,-4.954,15.000,-19.084
-0.002,0.010,1.178,-8.267,25.008,-21.321
-0.107,0.007,1.262,-9.985,28.595,-20.542
-0.192,-0.050,1.286,-9.832,26.397,-20.298
-0.282,-0.097,1.342,-6.565,17.000,-22.458
-0.347,-0.123,1.358,-0.183,2.992,-21.824
-0.366,-0.135,1.338,7.626,-7.748,-18.565
-0.361,-0.127,1.298,15.198,-14.641,-13.809
-0.332,-0.099,1.255,21.275,-16.565,-7.260
-0.295,-0.065,1.194,24.924,-13.214,1.237
-0.243,-0.031,1.145,25.160,-4.809,10.725
-0.201,0.010,1.103,23.405,7.664,20.405
-0.183,0.039,1.074,20.435,20.557,29.985
-0.165,0.051,1.041,16.527,32.588,38.626
-0.184,0.039,1.052,12.664,42.489,46.344
-0.190,0.012,1.045,9.527,44.878,54.649
-0.171,0.009,1.038,4.847,46.466,62.160
-0.118,0.014,1.027,-0.855,49.046,68.305
-0.094,0.010,1.040,-6.931,49.733,73.527
-0.065,-0.021,1.047,-12.740,52.069,78.183
-0.058,-0.029,1.079,-17.191,54.443,82.282
-0.018,-0.033,1.117,-19.687,53.588,85.672
0.006,-0.049,1.112,-20.427,50.870,87.580
0.028,-0.085,1.129,-19.511,43.527,88.260
0.066,-0.123,1.148,-17.840,34.427,88.702
0.120,-0.149,1.164,-15.504,20.244,85.863
0.172,-0.162,1.187,-11.565,4.275,79.206
0.228,-0.176,1.165,-8.069,-8.359,69.542
0.282,-0.177,1.148,-4.824,-18.015,60.160
0.329,-0.178,1.098,-3.046,-22.122,53.008
0.380,-0.186,1.086,-3.359,-20.359,49.252
0.398,-0.217,1.068,-5.229,-15.237,48.069
0.431,-0.243,1.042,-8.702,-5.809,48.290
0.484,-0.251,1.060,-12.504,5.947,49.061
