AX,AY,AZ,GX,GY,GZ
-0.099,0.083,1.225,-39.611,3.450,-57.626
-0.141,0.075,1.239,-45.588,0.321,-61.618
-0.220,0.032,1.344,-46.634,-5.740,-65.542
-0.337,-0.019,1.357,-42.092,-15.321,-67.885
-0.407,-0.054,1.365,-36.656,-23.733,-67.397
-0.450,-0.076,1.349,-29.015,-30.382,-64.145
-0.480,-0.092,1.356,-20.626,-35.573,-60.084
-0.521,-0.110,1.347,-11.336,-38.252,-54.458
-0.609,-0.139,1.314,-1.053,-39.595,-45.168
-0.663,-0.158,1.304,9.939,-38.214,-32.305
-0.716,-0.180,1.290,22.252,-33.763,-14.412
-0.725,-0.177,1.228,32.763,-26.000,7.359
-0.688,-0.163,1.126,38.328,-14.122,30.641
-0.622,-0.136,1.068,36.710,-4.679,56.145
-0.513,-0.130,1.066,31.618,3.176,82.046
-0.372,-0.137,1.036,24.511,12.901,104.191
-0.202,-0.145,1.003,15.542,26.519,119.855
-0.094,-0.141,1.006,6.176,37.611,127.534
-0.051,-0.140,1.052,-0.359,40.901,128.099
-0.040,-0.158,1.068,-4.695,34.405,124.847
0.016,-0.204,1.119,-6.328,21.366,121.244
0.093,-0.243,1.139,-6.374,6.550,117.580
0.209,-0.266,1.154,-5.168,-7.435,113.038
0.333,-0.277,1.145,-0.687,-15.557,105.695
0.460,-0.253,1.141,4.649,-17.763,95.359
0.532,-0.234,1.114,11.832,-16.466,84.153
0.517,-0.216,1.090,17.672,-15.672,77.420
0.541,-0.201,1.059,19.519,-13.641,79.710
0.655,-0.217,1.008,17.412,-1.565,84.107
0.746,-0.229,1.019,13.771,12.046,85.611
0.799,-0.222,1.007,9.939,22.450,82.252
0.800,-0.233,1.049,5.931,30.382,74.763
0.800,-0.272,1.103,5.053,32.672,64.115
0.788,-0.314,1.136,6.397,27.000,53.008
0.786,-0.361,1.134,8.656,18.664,38.916
0.776,-0.362,1.130,10.710,9.916,24.939
0.774,-0.319,1.138,13.527,0.924,13.458
0.794,-0.275,1.097,14.420,-2.336,5.191
0.825,-0.246,1.064,14.000,0.435,-1.298
0.847,-0.242,1.052,12.511,8.069,-7.344
0.864,-0.249,1.038,10.977,16.939,-13.771
0.833,-0.242,1.041,10.450,25.435,-19.740
0.796,-0.239,1.048,9.962,32.878,-24.802
0.743,-0.233,1.057,10.557,36.244,-29.389
0.705,-0.241,1.071,11.366,35.443,-34.969
0.681,-0.250,1.058,12.542,32.466,-41.420
0.683,-0.246,1.055,13.290,30.122,-47.710
0.673,-0.230,1.056,12.763,27.290,-54.443
0.652,-0.193,1.059,11.305,21.779,-61.908
0.630,-0.148,1.042,8.168,17.603,-68.176
0.627,-0.091,1.003,1.756,18.313,-72.695
0.616,-0.048,1.012,-5.511,22.443,-75.931
0.604,-0.033,1.035,-11.763,26.153,-78.779
0.579,-0.044,1.049,-16.756,29.580,-82.275
0.539,-0.072,1.080,-19.321,32.656,-87.718
0.489,-0.111,1.131,-18.458,32.061,-94.061
0.434,-0.121,1.157,-15.481,30.160,-98.573
0.402,-0.117,1.165,-14.107,27.969,-101.351
0.403,-0.100,1.200,-12.809,25.527,-104.389
0.403,-0.082,1.198,-11.450,22.954,-108.160
0.390,-0.078,1.174,-10.863,23.260,-110.069
0.375,-0.090,1.172,-11.145,27.214,-110.664
0.371,-0.115,1.185,-11.221,31.771,-110.748
0.360,-0.121,1.167,-10.824,36.389,-111.679
0.322,-0.104,1.182,-10.695,39.176,-113.221
0.297,-0.085,1.187,-10.847,41.069,-114.679
0.267,-0.059,1.204,-10.702,41.397,-116.947
0.226,-0.056,1.227,-10.015,39.382,-118.939
0.186,-0.089,1.244,-8.168,35.634,-121.290
0.165,-0.120,1.254,-5.069,31.908,-122.641
0.155,-0.166,1.251,-0.511,27.885,-122.656
0.169,-0.172,1.235,2.641,28.794,-121.672
0.173,-0.120,1.209,4.435,31.412,-120.740
0.147,-0.049,1.175,4.672,34.366,-120.107
0.116,0.005,1.157,2.733,36.573,-118.137
0.073,0.025,1.172,1.099,38.290,-116.947
0.039,0.010,1.176,0.130,37.450,-114.038
0.024,-0.019,1.154,-0.756,37.046,-109.481
0.035,-0.053,1.169,0.176,36.794,-106.176
0.033,-0.064,1.174,2.153,35.450,-105.573
0.019,-0.037,1.161,3.939,33.443,-104.802
0.014,0.013,1.140,4.229,32.168,-102.191
0.036,0.030,1.124,2.977,33.069,-99.000
0.054,0.004,1.138,2.198,34.221,-96.870
0.060,-0.017,1.130,3.069,34.473,-96.008
0.039,-0.033,1.139,4.260,34.244,-95.069
0.002,-0.024,1.135,5.794,32.595,-93.656
-0.018,0.009,1.124,6.649,30.679,-90.573
-0.011,0.045,1.102,6.145,31.145,-88.588
0.007,0.056,1.116,6.053,31.405,-86.221
0.039,0.049,1.097,4.939,31.626,-83.191
0.055,0.034,1.073,2.580,35.664,-80.344
