Time,AX,AY,AZ,GX,GY,GZ,T
0.0000,0.0710,-0.2050,1.1560,1.1910,25.6640,-44.2140,35.3100
0.0005,0.0660,-0.2070,1.1370,1.0840,24.4270,-45.1300,35.3100
0.0010,0.0550,-0.2060,1.1390,0.4730,23.8630,-44.4890,35.2600
0.0015,0.0640,-0.1990,1.1290,-0.6870,25.6180,-42.8090,35.3100
0.0019,0.0900,-0.1940,1.1250,-1.7710,29.8780,-40.9470,35.3500
0.0023,0.1050,-0.1950,1.1370,-1.0840,31.1150,-41.3740,35.2600
0.0027,0.1050,-0.1920,1.1470,-0.6870,30.0460,-42.7330,35.3100
0.0031,0.0970,-0.1920,1.1310,-0.0150,30.9010,-43.9390,35.3100
0.0035,0.0760,-0.1860,1.1390,0.0460,28.8400,-45.3590,35.2600
0.0042,0.0730,-0.1800,1.1450,-0.9920,27.7710,-45.9850,35.3100
0.0046,0.0760,-0.1800,1.1490,-1.5730,29.4200,-46.0310,35.2600
0.0051,0.0410,-0.1710,1.1370,-2.5340,29.8020,-46.2440,35.3500
0.0055,0.0170,-0.1740,1.1430,-4.6410,26.7790,-46.3210,35.3100
0.0060,0.0160,-0.1910,1.1800,-4.8550,23.0690,-46.5650,35.3100
0.0064,0.0190,-0.2080,1.2000,-3.5570,22.8550,-46.7480,35.3500
0.0068,0.0190,-0.2290,1.2200,-1.6640,19.7100,-46.9620,35.3100
0.0072,0.0230,-0.2430,1.2050,-0.6560,21.7400,-46.1830,35.3500
0.0075,0.0120,-0.2400,1.2100,0.2290,25.5730,-44.6720,35.3500
0.0079,0.0080,-0.2300,1.2040,0.8400,29.9690,-43.0080,35.3100
0.0082,0.0000,-0.2320,1.1910,1.5270,35.4200,-40.8400,35.3500
0.0087,-0.0040,-0.2190,1.1730,-0.1980,26.6720,-40.9770,35.2600
0.0093,0.0310,-0.2100,1.1660,-0.6870,26.2900,-40.8550,35.2100
0.0097,0.0570,-0.2050,1.2040,-0.5500,26.5950,-41.7250,35.3500
0.0101,0.0560,-0.2120,1.2150,0.7630,25.6490,-42.8700,35.4500
0.0105,0.0320,-0.2120,1.1940,1.7400,24.4890,-43.8630,35.3100
0.0108,0.0350,-0.2430,1.1870,2.3050,19.9080,-43.6030,35.2600
0.0111,0.0310,-0.2140,1.2170,2.6720,25.7860,-42.2440,35.2600
0.0115,0.0300,-0.2140,1.2000,3.1760,28.4120,-41.3590,35.3100
0.0118,0.0290,-0.2100,1.1640,2.6260,30.5800,-40.3970,35.2600
0.0121,0.0270,-0.2030,1.1750,0.1680,32.5340,-39.2820,35.3100
0.0125,0.0180,-0.2140,1.1710,-0.6870,33.5110,-39.8320,35.4000
0.0128,-0.0080,-0.2030,1.1770,-2.9770,32.9770,-38.7940,35.3500
0.0137,-0.0120,-0.2330,1.1720,-4.1070,28.0310,-39.2060,35.3100
0.0142,-0.0520,-0.2260,1.1940,-4.1220,28.4120,-39.0380,35.4000
0.0145,-0.0550,-0.2430,1.1840,-7.5570,25.7860,-36.9010,35.2600
0.0149,-0.0080,-0.2200,1.2090,-3.1760,22.7330,-33.2520,35.3100
0.0153,0.0110,-0.2200,1.2410,-0.1370,16.4270,-35.1150,35.3100
0.0157,0.0370,-0.2000,1.1900,1.5880,17.6340,-35.0530,35.2600
0.0161,0.0220,-0.1850,1.1690,0.8090,15.9540,-34.9620,35.2100
0.0165,0.0800,-0.1770,1.1100,3.1150,15.3890,-37.2520,35.2100
0.0170,0.0690,-0.1330,1.1560,-0.9470,18.9920,-36.5950,35.3500
0.0175,0.0330,-0.2010,1.1380,0.1370,16.3360,-38.9310,35.3100
0.0178,0.0210,-0.1790,1.1600,-0.2440,11.8170,-39.0530,35.2600
0.0181,0.0190,-0.1670,1.1670,-3.6030,11.6340,-38.9010,35.3500
0.0184,0.0780,-0.1970,1.1580,-1.8320,15.5570,-41.4050,35.3100
0.0191,0.0450,-0.1840,1.2860,-0.2900,18.4730,-40.8400,35.2600
0.0195,0.0060,-0.2190,1.2980,4.9310,17.9390,-42.3510,35.3500
0.0198,-0.0100,-0.2380,1.2790,9.3280,20.8700,-41.0080,35.3100
0.0201,-0.0410,-0.2130,1.2320,10.5800,21.2370,-38.7630,35.2600
0.0204,-0.0490,-0.1890,1.1720,8.0760,19.9240,-36.9620,35.3500
0.0207,-0.0290,-0.1820,1.1600,3.5880,14.1370,-36.1680,35.3100
0.0211,0.0140,-0.1860,1.2260,2.7790,8.7480,-36.5950,35.2600
0.0214,0.0670,-0.1980,1.2550,6.0310,10.8400,-38.2440,35.2600
0.0217,0.0730,-0.1910,1.2520,8.4270,18.5040,-39.6340,35.3100
0.0220,0.0300,-0.1880,1.2400,10.1220,16.3210,-40.8400,35.4500
0.0224,0.0370,-0.1810,1.2450,10.4580,14.6720,-41.0530,35.3500
0.0227,0.0350,-0.1740,1.2850,11.4960,13.7710,-41.8630,35.4000
0.0230,0.0300,-0.1700,1.2840,14.6870,14.6720,-42.4120,35.3500
0.0232,0.0280,-0.1610,1.2930,18.0460,11.2370,-42.9470,35.3500
0.0235,0.0370,-0.1580,1.2810,19.2670,11.0380,-42.9920,35.3100
0.0238,0.0380,-0.1440,1.2510,17.6640,14.3820,-41.9540,35.3500
0.0241,0.0500,-0.1420,1.2250,14.6260,14.0460,-41.9080,35.2600
0.0244,0.0580,-0.1390,1.2370,11.1760,12.5650,-42.4430,35.3100
0.0246,0.0570,-0.1440,1.2770,10.1680,10.9310,-42.7480,35.2600
0.0249,0.0710,-0.1520,1.2910,12.7180,11.1150,-44.2440,35.3100
0.0252,0.0630,-0.1430,1.2940,15.0230,15.9240,-45.5420,35.3500
0.0257,0.0070,-0.1240,1.2630,15.3130,15.1760,-46.5650,35.4500
0.0259,-0.0080,-0.1150,1.2330,17.6340,15.0690,-47.3130,35.3100
0.0262,-0.0310,-0.1000,1.2030,18.4730,12.4270,-48.1980,35.3100
0.0265,-0.0460,-0.1090,1.1710,17.6490,7.6180,-48.9920,35.3500
0.0268,-0.0530,-0.1130,1.1660,14.4730,0.2440,-49.5110,35.3100
0.0271,-0.0340,-0.1130,1.1850,11.6340,-6.5040,-49.2370,35.2600
0.0273,-0.0080,-0.1050,1.2270,9.1910,-1.9390,-46.7940,35.3500
0.0276,-0.0150,-0.1090,1.2180,9.6950,-0.7330,-43.2520,35.3100
0.0279,0.0090,-0.1200,1.2730,11.1300,0.8700,-38.9770,35.3100
0.0282,0.0720,-0.1130,1.2660,11.5420,4.7180,-36.3050,35.3500
0.0284,0.1290,-0.1130,1.2630,15.4050,6.7330,-35.8170,35.2100
0.0287,0.1870,-0.1030,1.2430,15.1910,14.4120,-36.0610,35.3500
0.0290,0.1830,-0.0980,1.2260,16.9620,18.8400,-37.8320,35.3500
0.0292,0.1970,-0.1030,1.2070,15.4050,16.9160,-42.7940,35.2100
0.0295,0.1620,-0.1050,1.2120,14.5340,11.3590,-49.0840,35.3500
0.0297,0.1120,-0.1220,1.2350,14.9470,6.9770,-54.4270,35.3500
0.0300,0.0670,-0.1420,1.2440,14.4120,4.8700,-57.5730,35.3100
0.0302,-0.0040,-0.1620,1.2520,16.6870,4.5040,-55.9080,35.3500
0.0305,-0.0360,-0.1660,1.2550,17.8320,8.2750,-52.1980,35.2600
0.0307,-0.0760,-0.1720,1.2320,19.0080,7.2060,-46.1530,35.3100
0.0309,-0.0270,-0.1660,1.2630,19.7100,4.1830,-40.9160,35.3500
0.0312,0.0320,-0.1550,1.2630,23.0380,11.8320,-36.4430,35.3500
0.0314,0.0560,-0.1320,1.2300,24.7480,18.7630,-33.2370,35.3100
0.0317,0.0620,-0.0940,1.1710,24.1220,23.3440,-31.6490,35.2600
0.0319,0.0830,-0.0690,1.1250,22.7180,21.2370,-31.1300,35.2600
0.0322,0.1190,-0.0390,1.1560,19.6340,23.0080,-30.6260,35.3100
0.0324,0.1560,-0.0280,1.1420,20.5500,23.2520,-31.2520,35.2600
0.0327,0.1900,-0.0080,1.1330,16.9620,27.5270,-31.5570,35.3500
