Time AX AY AZ GX GY GZ
0.020000000000010232 0.137 -0.177 0.963 -1.977 5.725 0.336
0.02702783300000533 0.14 -0.187 0.967 -0.656 6.321 -0.672
0.03955591700000127 0.13 -0.189 0.964 2.679 5.435 -1.122
0.046758792000019866 0.149 -0.173 0.964 2.863 5.336 0.115
0.0595254580000244 0.163 -0.154 0.966 2.763 5.137 3.397
0.06672741700000984 0.142 -0.185 0.95 2.573 2.565 1.046
0.07923237500000369 0.148 -0.175 0.964 1.695 2.817 2.489
0.08651383299999793 0.147 -0.18 0.964 1.061 3.328 3.351
0.09893454200002338 0.142 -0.17 0.96 0.824 3.382 3.153
0.11146808300000544 0.138 -0.174 0.936 -0.328 2.015 1.718
0.11875025000000505 0.146 -0.164 0.937 -0.71 0.779 -0.473
0.13096587500001533 0.153 -0.164 0.941 -0.641 0.901 -1.366
0.13818037500001878 0.155 -0.172 0.949 0.405 1.985 -2.473
0.15073258300000703 0.167 -0.175 0.957 0.817 2.504 -2.252
0.15796991700000262 0.158 -0.183 0.959 0.725 1.611 -3.321
0.1704322920000152 0.155 -0.176 0.954 0.786 1.198 -4.313
0.1774642080000035 0.162 -0.165 0.965 0.359 2.26 -3.366
0.1899677500000223 0.165 -0.166 0.963 -0.649 2.939 -4.282
0.19699941700000068 0.173 -0.177 0.993 -1.344 4.412 -3.382
0.20949620800001867 0.167 -0.183 0.98 -1.656 5.573 -3.061
0.2164860830000066 0.171 -0.188 0.997 -1.42 6.198 -1.145
0.22898641700001576 0.165 -0.216 1.016 -0.458 6.443 -0.221
0.24147387499999695 0.158 -0.205 1.016 -0.458 8.046 1.198
0.24878508300000135 0.16 -0.203 1.044 -2.649 9.16 2.435
0.2611272080000049 0.157 -0.201 1.07 -4.351 12.13 3.947
0.26830258300000764 0.137 -0.213 1.096 -5.573 14.473 5.336
0.28054137500001275 0.121 -0.197 1.08 -6.779 16.672 6.282
0.28785008300002346 0.077 -0.195 1.069 -8.122 16.542 7.053
0.3001235830000155 0.006 -0.198 1.068 -4.076 11.427 1.382
0.30765887500001554 -0.033 -0.181 1.081 2.214 7.519 0.115
0.319905250000005 -0.056 -0.16 1.095 8.374 4.565 -2.802
0.3271897500000023 -0.074 -0.135 1.111 12.466 3.183 -2.122
0.3392482920000077 -0.103 -0.114 1.112 15.374 2.71 -2.763
0.35122837500000514 -0.113 -0.079 1.1 14.076 4.779 -0.45
0.35878579200002036 -0.166 -0.115 1.085 15.29 5.985 5.809
0.37091933300001756 -0.221 -0.094 1.074 16.885 4.153 7.58
0.3784400830000152 -0.235 -0.049 1.074 15.931 3.992 9.397
0.3903583330000231 -0.25 -0.023 1.063 14.046 4.053 10.84
0.397483292000004 -0.291 -0.008 1.029 5.87 5.015 12.473
0.41012020800002347 -0.313 0.005 0.992 5.153 3.031 6.504
0.4171288330000209 -0.301 -0.003 1.005 1.58 2.031 0.427
0.4297241670000176 -0.307 -0.005 1.028 -7.069 3.336 -3.313
0.4357049170000096 -0.33 -0.033 1.046 -17.29 2.87 -6.145
0.44875675000000115 -0.342 -0.073 1.054 -26.313 3.985 -4.527
0.46103912500001343 -0.385 -0.127 1.066 -32.901 4.244 0.626
0.4683406249999962 -0.408 -0.186 1.055 -24.664 5.099 9.519
0.48038150000002133 -0.403 -0.233 1.018 -7.634 6.626 17.298
0.4876415829999985 -0.408 -0.213 0.937 8.115 6.26 25.298
0.4999080000000049 -0.4 -0.19 0.867 20.58 3.252 28.13
0.5072583750000206 -0.354 -0.149 0.843 29.771 0.649 31.137
0.5192142080000224 -0.312 -0.1 0.775 39.206 -1.733 30.466
0.5312583750000215 -0.264 -0.062 0.702 45.29 -7.023 30.527
0.5383285420000163 -0.192 -0.069 0.712 49.702 -11.397 28.626
0.550343292000008 -0.097 -0.041 0.724 46.351 -10.664 31.595
0.557428041999998 -0.071 -0.091 0.765 40.221 -8.817 34.443
0.5694034580000107 -0.023 -0.053 0.792 24.885 -5.519 36.168
0.5769742080000242 0.005 -0.003 0.799 3.344 -0.412 38.595
0.588992917000013 -0.006 0.009 0.775 -18.221 4.015 39.916
0.6010086670000021 -0.007 -0.006 0.757 -36.557 9.527 42.55
0.6080972500000144 -0.018 -0.058 0.735 -46.992 16.359 43.534
0.6201460000000054 -0.036 -0.143 0.707 -47.305 22.313 45.031
0.6271934170000009 -0.05 -0.319 0.679 -54.206 13.931 39.817
0.6391935420000152 0.021 -0.212 0.687 -40.176 16.511 50.13
0.6514776250000125 -0.117 -0.441 0.664 -3.0 2.397 37.153
0.6585360830000013 0.037 -0.399 0.703 21.405 -10.58 31.084
0.6705636249999998 0.151 -0.383 0.671 25.42 -16.229 24.832
0.6778510420000146 0.2 -0.372 0.625 20.916 -23.84 26.611
0.6898984999999982 0.282 -0.353 0.592 -1.618 -31.55 22.511
0.6969286249999982 0.368 -0.345 0.614 -29.115 -29.053 23.076
0.7090268330000242 0.296 -0.345 0.542 -43.023 -19.008 33.534
0.721014083 0.217 -0.305 0.388 -35.817 -16.015 35.992
0.728071583000002 0.198 -0.258 0.267 -20.443 -24.87 33.084
0.7401113749999979 0.274 -0.241 0.254 -10.244 -36.595 25.282
0.747142083 0.384 -0.313 0.365 -8.443 -41.412 20.496
0.759202541999997 0.556 -0.412 0.535 -14.985 -39.824 19.626
0.7712908330000232 0.688 -0.431 0.681 -27.053 -30.267 26.924
0.7784184580000044 0.736 -0.447 0.759 -43.336 -23.847 33.618
0.7903725830000212 0.69 -0.371 0.657 -58.87 -24.481 38.336
0.7974578330000099 0.569 -0.349 0.53 -60.771 -33.099 34.618
0.8095261250000192 0.563 -0.302 0.461 -56.244 -42.405 30.397
0.8212437079999972 0.599 -0.323 0.505 -52.183 -50.427 24.534
0.8286073330000079 0.69 -0.356 0.617 -49.756 -52.58 22.168
0.8403598750000185 0.754 -0.368 0.681 -46.061 -45.382 22.924
0.8476497080000058 0.774 -0.359 0.69 -42.679 -40.794 21.954
0.8594275420000201 0.788 -0.321 0.632 -47.626 -40.573 17.832
0.8714489170000093 0.758 -0.299 0.594 -52.198 -46.359 9.023
0.878805667000023 0.747 -0.302 0.588 -53.557 -52.893 -1.237
0.8905610830000228 0.779 -0.372 0.701 -53.313 -54.71 -7.832
0.8979612500000087 0.847 -0.43 0.856 -54.771 -49.557 -7.557
0.9096620830000006 0.854 -0.479 0.927 -56.672 -40.244 -3.382
0.9169820830000219 0.805 -0.506 0.956 -51.511 -36.26 -2.664
0.9287352500000168 0.792 -0.474 0.92 -35.107 -38.771 -7.809
0.9408348750000073 0.815 -0.392 0.872 -27.725 -44.733 -14.763
0.9478955419999977 0.885 -0.297 0.876 -39.252 -45.557 -15.267
0.9596553330000006 0.903 -0.319 0.944 -55.458 -36.145 -14.435
0.9714534170000206 0.873 -0.392 0.988 -66.924 -21.779 -10.626
0.97876662500002 0.816 -0.481 1.033 -64.702 -8.076 -11.42
0.9906224580000185 0.712 -0.54 1.009 -54.901 -2.466 -11.901
0.997878500000013 0.663 -0.591 1.044 -38.076 -5.076 -15.687
1.0095835830000226 0.686 -0.509 1.009 -31.519 -8.031 -19.504
1.016682000000003 0.742 -0.407 1.024 -41.763 -7.947 -16.504
1.0284880830000134 0.707 -0.423 1.043 -51.496 -0.443 -15.435
1.0407020420000208 0.636 -0.433 1.038 -54.664 4.542 -16.313
1.0476624580000191 0.57 -0.492 1.057 -45.0 6.336 -20.817
1.0599612080000043 0.537 -0.536 1.086 -24.313 4.931 -30.534
1.0669763750000243 0.574 -0.523 1.067 -12.405 3.519 -38.214
1.0792112500000144 0.569 -0.468 0.976 -10.359 2.954 -42.0
1.0914772080000148 0.569 -0.477 0.964 -17.832 2.008 -40.84
1.0982170830000086 0.539 -0.503 0.959 -26.252 3.115 -39.779
1.1104802080000127 0.501 -0.533 0.986 -34.924 4.305 -33.634
1.1174998330000108 0.461 -0.617 1.067 -42.527 4.237 -26.397
1.1297327500000165 0.401 -0.619 1.093 -41.756 3.672 -21.939
1.1367925420000233 0.407 -0.541 1.105 -34.962 6.855 -16.168
1.1488284170000043 0.4 -0.5 1.105 -33.71 11.763 -13.366
1.1609950419999961 0.385 -0.46 1.132 -40.656 15.389 -17.191
1.167858750000022 0.335 -0.507 1.174 -44.015 15.954 -17.748
1.1800537080000026 0.273 -0.641 1.216 -35.74 16.634 -28.679
1.1871988329999965 0.278 -0.74 1.299 -20.443 16.916 -38.069
1.1992527080000173 0.327 -0.716 1.361 -7.695 23.099 -40.977
1.2114802500000224 0.272 -0.691 1.286 4.702 28.466 -40.282
1.2187376669999992 0.261 -0.561 1.176 6.504 32.015 -37.832
1.2308613750000177 0.216 -0.486 1.123 -3.588 32.458 -38.153
1.2378950420000194 0.212 -0.467 1.118 -8.84 32.13 -37.725
1.249916208000002 0.19 -0.492 1.148 -6.901 31.573 -36.756
1.257247417000002 0.146 -0.523 1.145 2.076 28.878 -38.649
1.269249875000014 0.143 -0.519 1.089 13.115 27.473 -41.573
1.2812775830000191 0.164 -0.507 1.106 14.672 27.985 -40.893
1.2887163329999964 0.137 -0.511 1.111 16.725 28.733 -37.221
1.3006091670000046 0.115 -0.466 1.089 13.618 29.863 -32.42
1.307920082999999 0.099 -0.461 1.122 7.435 32.962 -29.595
1.3199045830000102 0.073 -0.441 1.129 -0.603 35.366 -26.802
1.3272028330000012 0.06 -0.451 1.13 -0.115 37.763 -23.87
1.3392752919999964 0.009 -0.482 1.141 3.198 40.45 -24.74
1.3512705830000016 -0.001 -0.516 1.164 15.824 37.397 -27.176
1.3583294170000215 0.016 -0.517 1.172 26.878 36.641 -28.42
1.3704244580000022 0.021 -0.501 1.153 35.336 36.748 -28.481
1.377758708000016 0.005 -0.446 1.117 37.695 36.931 -25.382
1.3897691669999972 -0.01 -0.411 1.077 37.504 36.672 -21.664
1.4015053330000171 -0.021 -0.394 1.052 32.313 36.0 -18.397
1.408879958 0.01 -0.387 1.08 26.618 36.321 -14.0
1.4209365830000138 0.014 -0.426 1.135 23.107 38.626 -11.427
1.428098958000021 -0.015 -0.438 1.116 23.71 41.153 -10.405
1.4400242080000112 -0.056 -0.47 1.067 32.817 35.679 -8.779
1.4473195000000203 -0.042 -0.425 1.019 34.908 33.069 -8.962
1.459309750000017 -0.04 -0.382 0.976 34.252 29.573 -5.779
1.4713490830000069 -0.019 -0.395 0.982 35.107 26.84 -4.878
1.4786758750000217 0.011 -0.383 0.975 30.779 27.718 -2.122
1.4909560830000146 0.01 -0.386 0.956 28.802 31.29 1.107
1.4982251670000153 -0.01 -0.381 0.9 30.916 33.099 3.382
1.5102152500000159 -0.032 -0.372 0.871 32.305 31.427 3.168
1.5175152500000024 -0.017 -0.361 0.879 34.664 30.557 3.649
1.5297719579999978 0.024 -0.339 0.881 33.489 32.878 2.985
1.536991999999998 0.031 -0.33 0.854 30.947 37.206 3.359
1.548987583000013 -0.027 -0.393 0.858 35.015 31.695 -0.13
1.5610205830000154 -0.018 -0.355 0.823 41.595 28.489 -0.359
1.5683410000000038 -0.014 -0.326 0.813 51.351 25.214 0.603
1.580347833000019 -0.003 -0.297 0.807 58.038 21.985 0.664
1.5878706670000042 0.027 -0.268 0.827 60.748 19.55 1.321
1.599878541999999 0.038 -0.261 0.824 62.718 19.321 0.076
1.6075068330000022 0.051 -0.233 0.803 63.107 17.893 0.603
1.6194397080000158 0.055 -0.195 0.76 61.695 16.221 0.832
1.6270297920000019 0.054 -0.203 0.762 57.359 13.412 0.489
1.6389896670000041 0.081 -0.153 0.753 52.076 13.061 1.42
1.651268750000014 0.102 -0.163 0.771 45.092 13.168 3.504
1.6585407919999966 0.11 -0.17 0.776 34.672 12.985 4.679
1.6707705000000033 0.105 -0.167 0.749 32.519 13.473 4.313
1.6781168330000185 0.106 -0.192 0.776 30.206 12.092 2.962
1.690358792000012 0.133 -0.186 0.796 26.947 13.725 4.099
1.697610458000014 0.089 -0.205 0.766 27.115 12.626 2.985
1.709894625000004 0.085 -0.173 0.75 27.092 10.099 1.679
1.7174511249999966 0.096 -0.175 0.771 25.511 9.664 3.557
1.7296960000000183 0.088 -0.188 0.792 23.824 7.397 3.076
1.7369194170000242 0.101 -0.153 0.784 18.847 5.458 3.878
1.749271708000009 0.102 -0.162 0.774 18.344 4.756 4.916
1.7614327500000115 0.11 -0.153 0.782 16.763 4.0 4.802
1.7689578750000123 0.116 -0.152 0.794 13.023 3.916 2.275
1.78124037500001 0.125 -0.112 0.805 11.145 4.763 1.588
1.7887380000000235 0.126 -0.144 0.843 8.618 4.74 1.489
1.8010090000000218 0.133 -0.147 0.875 -1.275 8.405 2.832
1.808574875000005 0.114 -0.16 0.859 -6.473 8.931 3.626
1.8207722500000045 0.093 -0.173 0.86 -4.878 9.725 3.412
1.828122417000003 0.06 -0.206 0.849 3.336 6.962 -0.008
1.8403706250000198 0.056 -0.188 0.845 12.55 2.885 -2.427
1.8476750000000095 0.053 -0.135 0.816 17.603 -0.13 -3.87
1.8596395000000143 0.061 -0.145 0.839 20.649 -3.794 -7.29
1.8669037080000237 0.114 -0.094 0.86 16.832 -2.962 -2.748
1.8792485830000203 0.112 -0.166 0.908 14.542 -0.779 -1.13
1.891470792000007 0.138 -0.157 0.94 15.366 1.702 2.206
1.8988038330000165 0.136 -0.171 0.948 15.351 3.733 1.183
1.9110140829999978 0.132 -0.135 0.934 14.557 4.382 1.443
