Time AX AY AZ GX GY GZ
1e-06 0.17 -0.179 1.011 0.336 4.794 -5.496
0.013264 0.168 -0.183 1.005 1.176 4.26 -6.366
0.021217 0.162 -0.178 1.012 1.863 4.824 -6.931
0.032959 0.163 -0.162 1.011 1.466 5.267 -6.351
0.040251 0.161 -0.152 1.028 0.641 5.13 -8.244
0.052222 0.158 -0.151 1.012 1.893 4.519 -6.443
0.059785 0.162 -0.168 1.015 3.557 3.298 -6.672
0.07182 0.155 -0.163 1.009 2.824 2.397 -7.71
0.079461 0.149 -0.169 0.989 4.336 3.282 -5.939
0.091808 0.155 -0.178 1.008 4.046 5.603 -4.794
0.104084 0.157 -0.171 1.012 2.412 6.214 -4.931
0.111071 0.169 -0.175 1.03 3.634 7.618 -3.053
0.123567 0.172 -0.182 1.07 1.786 8.397 -3.802
0.131098 0.179 -0.193 1.08 0.855 8.458 -5.649
0.143414 0.176 -0.202 1.101 2.992 8.58 -6.489
0.15076 0.162 -0.198 1.113 6.031 9.71 -7.267
0.163577 0.157 -0.181 1.138 8.015 11.42 -5.527
0.170179 0.158 -0.173 1.157 10.519 12.794 -3.145
0.183272 0.157 -0.168 1.188 12.076 11.74 -3.649
0.189408 0.145 -0.167 1.219 14.611 10.153 -2.0
0.202049 0.159 -0.172 1.254 15.817 8.794 0.626
0.207632 0.163 -0.18 1.278 15.817 6.534 -0.626
0.221642 0.165 -0.177 1.306 14.58 3.206 -2.26
0.233827 0.175 -0.173 1.317 15.282 -0.748 -2.214
0.241415 0.18 -0.19 1.33 15.618 -6.702 -5.954
0.253041 0.183 -0.201 1.288 16.183 -13.74 -13.115
0.259965 0.18 -0.198 1.232 19.099 -17.74 -16.656
0.272378 0.18 -0.194 1.186 21.496 -18.458 -17.221
0.277845 0.167 -0.206 1.186 21.435 -17.618 -15.908
0.291523 0.181 -0.178 1.107 25.374 -16.977 -18.931
0.303428 0.187 -0.164 1.098 25.237 -16.26 -18.519
0.311076 0.193 -0.136 1.086 25.008 -14.305 -18.565
0.322526 0.196 -0.117 1.053 25.924 -13.847 -18.55
0.329466 0.183 -0.105 1.027 26.519 -12.443 -19.588
0.341772 0.178 -0.095 1.005 28.0 -9.893 -18.916
0.353649 0.167 -0.071 1.007 28.427 -7.908 -17.466
0.360753 0.168 -0.082 1.011 30.0 -7.145 -15.695
0.373293 0.153 -0.064 1.022 32.763 -7.634 -14.321
0.379806 0.154 -0.052 1.039 35.863 -8.489 -11.252
0.39188 0.151 -0.042 1.047 37.847 -10.229 -7.344
0.404017 0.159 -0.058 1.033 39.511 -11.588 -5.069
0.410883 0.157 -0.061 1.037 42.458 -14.534 -4.198
0.423335 0.155 -0.06 1.011 44.87 -15.878 -2.366
0.430378 0.163 -0.056 1.01 44.58 -16.55 0.351
0.442743 0.179 -0.049 0.989 41.252 -15.71 -0.901
0.449451 0.195 -0.024 0.98 40.489 -15.954 -1.542
0.461517 0.201 -0.005 0.965 39.099 -15.832 -2.763
0.473791 0.229 0.009 0.946 35.298 -13.405 -1.359
0.480969 0.201 0.012 0.938 36.321 -13.756 -1.313
0.493984 0.212 0.019 0.949 34.473 -14.641 -4.366
0.500333 0.214 0.026 0.951 32.183 -15.115 -4.824
0.512817 0.23 0.029 0.94 28.153 -14.198 -4.931
0.519566 0.244 0.03 0.95 24.611 -15.969 -7.038
0.531953 0.248 0.049 0.924 23.908 -16.718 -7.74
0.537696 0.243 0.003 0.913 27.16 -18.901 -5.313
0.551229 0.247 -0.019 0.865 27.74 -18.641 -5.527
0.563527 0.23 -0.017 0.857 27.328 -16.504 -8.809
0.570433 0.23 -0.022 0.835 27.527 -13.939 -7.435
0.582428 0.243 -0.002 0.835 25.878 -9.756 -9.023
0.589485 0.254 0.027 0.854 27.145 -8.0 -7.038
0.602004 0.251 0.07 0.862 28.26 -4.794 -5.847
0.609066 0.27 0.072 0.89 28.55 -2.962 -1.115
0.621855 0.263 0.083 0.904 29.893 -3.344 1.771
0.633925 0.267 0.078 0.919 30.901 -4.214 0.687
0.641249 0.249 0.066 0.927 32.58 -6.183 0.565
0.65385 0.239 0.054 0.923 30.824 -7.878 -0.382
0.660831 0.233 0.026 0.913 28.412 -9.099 -1.924
0.673224 0.224 0.017 0.905 26.611 -9.832 -3.71
0.680085 0.222 0.015 0.898 24.931 -10.0 -5.313
0.69235 0.226 0.01 0.895 23.542 -10.672 -5.176
0.69925 0.24 0.032 0.895 20.168 -11.374 -7.573
0.711943 0.243 0.046 0.894 17.679 -13.817 -9.389
0.718888 0.239 0.061 0.869 14.656 -14.473 -11.374
0.731088 0.244 0.062 0.849 13.511 -15.542 -10.977
0.743428 0.243 0.076 0.838 12.84 -15.527 -11.084
0.750062 0.249 0.093 0.817 12.855 -15.573 -10.794
0.762441 0.254 0.106 0.789 12.763 -15.42 -10.092
0.769423 0.247 0.102 0.767 12.29 -13.954 -10.107
0.781617 0.242 0.085 0.756 13.084 -12.122 -9.588
0.793942 0.239 0.063 0.721 17.344 -10.137 -9.237
0.800871 0.232 0.079 0.705 19.328 -6.916 -7.359
0.813409 0.239 0.092 0.73 18.794 -4.275 -5.389
0.820455 0.244 0.11 0.743 17.115 -2.672 -5.359
0.832966 0.252 0.12 0.746 11.847 -2.458 -5.389
0.839988 0.247 0.123 0.739 6.443 -1.481 -5.023
0.852426 0.252 0.123 0.73 1.954 -1.328 -4.855
0.859632 0.246 0.132 0.703 -1.221 -0.031 -4.931
0.872191 0.235 0.111 0.701 -2.595 1.954 -2.962
0.87921 0.239 0.118 0.672 -4.473 4.534 -4.168
0.891639 0.235 0.115 0.673 -6.565 7.893 -2.427
0.898884 0.243 0.126 0.682 -10.336 11.985 0.229
0.911556 0.247 0.13 0.703 -12.122 12.595 0.672
0.923743 0.249 0.141 0.735 -15.802 13.466 -0.504
0.930628 0.246 0.153 0.718 -16.641 15.405 1.756
0.943238 0.236 0.137 0.749 -18.977 16.366 5.389
0.950079 0.229 0.128 0.764 -18.29 15.74 6.336
0.962783 0.212 0.102 0.769 -18.641 14.58 7.298
0.969814 0.209 0.089 0.768 -22.55 15.557 8.931
0.982337 0.221 0.086 0.773 -25.481 17.069 9.924
0.989273 0.218 0.094 0.775 -29.969 18.183 5.206
1.00222 0.234 0.106 0.815 -35.527 16.336 6.305
1.007588 0.245 0.125 0.824 -37.496 15.817 3.939
1.021667 0.229 0.124 0.848 -36.947 15.008 5.115
1.033828 0.208 0.115 0.862 -36.015 13.817 7.038
1.040754 0.21 0.094 0.868 -35.389 12.672 9.786
1.053696 0.211 0.094 0.86 -35.374 13.542 15.008
1.060379 0.206 0.081 0.903 -37.71 14.901 15.649
1.072636 0.222 0.038 0.921 -38.153 13.771 19.42
1.079883 0.235 0.015 0.93 -37.557 12.565 17.924
1.091787 0.228 0.002 0.963 -38.031 11.023 17.466
1.097683 0.221 0.003 1.019 -43.115 6.672 7.282
1.111258 0.212 -0.03 0.98 -41.649 4.733 5.847
1.123675 0.229 -0.005 0.957 -42.153 5.206 6.015
1.131145 0.232 -0.004 0.966 -42.565 4.55 7.115
1.143635 0.211 -0.002 0.965 -41.344 5.435 8.611
1.150327 0.212 -0.01 0.962 -40.855 6.489 10.489
1.163151 0.217 -0.036 0.983 -40.489 6.855 13.679
1.169971 0.254 -0.048 0.973 -36.702 6.947 15.863
1.182035 0.268 -0.067 1.019 -33.511 0.885 12.214
1.189651 0.293 -0.102 1.018 -24.519 -8.809 2.916
1.201386 0.291 -0.12 0.964 -12.061 -19.084 -9.863
1.213818 0.255 -0.085 0.909 -5.435 -15.725 -16.595
1.220298 0.273 -0.051 0.838 -6.672 -8.458 -14.885
1.232476 0.258 -0.022 0.83 -5.924 2.916 -8.824
1.23982 0.26 -0.008 0.831 -5.786 13.191 -3.359
1.252015 0.251 0.001 0.845 -8.672 23.237 8.183
