AX,AY,AZ,GX,GY,GZ
0.118,-0.042,1.157,-5.725,27.313,-45.359
0.105,-0.047,1.173,-4.847,26.298,-44.458
0.097,-0.047,1.195,-3.260,23.313,-44.382
0.099,-0.035,1.186,-2.206,18.855,-44.603
0.120,-0.033,1.153,-1.962,17.595,-44.198
0.124,-0.034,1.153,-2.290,18.092,-43.824
0.126,-0.021,1.162,-2.908,19.008,-43.313
0.140,-0.015,1.151,-4.053,20.443,-42.901
0.133,-0.019,1.156,-5.107,22.626,-42.359
0.131,-0.010,1.146,-6.321,24.687,-41.229
0.130,-0.016,1.148,-7.473,26.893,-40.305
0.125,-0.031,1.160,-7.267,27.427,-39.580
0.116,-0.040,1.185,-6.466,26.061,-39.550
0.120,-0.043,1.186,-4.534,24.511,-39.947
0.129,-0.043,1.183,-3.374,23.374,-40.779
0.122,-0.038,1.175,-2.267,22.771,-41.710
0.108,-0.039,1.191,-1.718,20.672,-42.115
