AX,AY,AZ,GX,GY,GZ
0.439,-0.167,1.286,-17.443,-10.802,6.763
0.472,-0.157,1.279,-16.046,-16.809,-1.908
0.510,-0.162,1.251,-15.130,-15.725,-9.679
0.531,-0.166,1.255,-14.366,-10.763,-17.466
0.509,-0.147,1.260,-12.573,-4.626,-24.267
0.473,-0.141,1.260,-10.191,4.092,-31.374
0.430,-0.135,1.281,-7.160,9.450,-38.359
0.379,-0.117,1.271,-3.466,13.527,-43.603
0.349,-0.104,1.240,-0.458,19.725,-44.611
0.317,-0.109,1.248,1.771,25.969,-43.664
0.294,-0.111,1.242,4.382,29.290,-45.191
0.266,-0.116,1.235,6.221,29.282,-50.023
0.214,-0.111,1.240,8.786,27.710,-54.740
0.162,-0.096,1.232,10.702,24.504,-56.962
0.132,-0.089,1.198,12.450,20.023,-58.260
0.104,-0.081,1.182,11.305,16.282,-59.336
0.099,-0.077,1.171,10.527,13.962,-60.214
0.092,-0.070,1.183,10.710,11.992,-61.473
0.075,-0.074,1.189,11.473,10.290,-62.275
0.076,-0.059,1.163,11.061,9.580,-62.656
0.070,-0.056,1.115,8.878,10.992,-62.137
0.052,-0.045,1.149,7.725,12.595,-61.359
0.053,-0.042,1.140,7.084,13.206,-59.595
0.067,-0.027,1.106,5.069,17.084,-57.725
0.065,-0.002,1.099,1.489,21.840,-55.939
0.041,-0.008,1.130,-0.855,25.183,-54.015
0.032,-0.010,1.131,-1.931,24.939,-52.939
0.032,-0.011,1.134,-2.626,23.611,-52.191
0.039,-0.005,1.143,-3.221,22.366,-50.626
0.044,-0.018,1.158,-3.687,21.893,-50.000
0.044,-0.029,1.180,-2.847,20.344,-49.313
0.054,-0.034,1.177,-1.962,18.435,-50.053
0.073,-0.034,1.174,-0.740,18.794,-52.672
0.063,-0.012,1.176,0.855,19.313,-54.336
0.041,-0.013,1.176,2.214,19.481,-55.168
0.021,-0.005,1.178,3.023,18.557,-54.382
0.021,-0.002,1.150,2.733,18.756,-52.008
0.039,-0.007,1.142,2.481,21.542,-50.443
0.050,-0.014,1.148,2.076,25.031,-50.176
0.044,-0.020,1.162,1.679,26.328,-50.702
0.020,-0.028,1.164,1.191,27.580,-50.763
-0.008,-0.024,1.176,1.321,26.947,-50.191
-0.014,-0.023,1.169,1.527,25.450,-49.366
-0.008,-0.019,1.172,1.969,23.115,-48.359
0.007,-0.006,1.154,2.412,22.908,-47.885
0.019,-0.002,1.167,2.870,23.618,-47.458
0.016,-0.014,1.158,2.878,24.145,-47.962
0.000,-0.020,1.154,1.779,23.435,-48.145
-0.001,-0.021,1.149,0.840,22.718,-48.122
0.000,-0.015,1.160,0.817,22.695,-47.420
0.009,-0.011,1.170,2.031,22.351,-47.069
0.014,-0.002,1.152,2.847,23.687,-46.771
0.001,-0.005,1.156,3.344,24.313,-46.069
0.001,0.001,1.152,2.969,23.290,-45.023
-0.005,0.000,1.141,2.580,23.382,-43.145
0.024,-0.009,1.136,1.718,23.817,-41.588
0.036,-0.009,1.132,0.855,24.313,-41.450
0.033,-0.016,1.134,0.687,24.611,-42.092
0.026,-0.012,1.136,0.069,24.649,-42.542
0.020,-0.011,1.143,-0.427,22.710,-43.046
0.031,-0.002,1.132,-2.031,20.298,-43.412
0.032,-0.001,1.139,-2.924,18.908,-43.397
0.032,0.008,1.137,-4.282,18.504,-43.405
0.033,-0.010,1.140,-4.817,18.893,-43.511
0.024,-0.022,1.167,-4.137,19.115,-43.748
0.025,-0.028,1.154,-4.290,18.969,-43.534
0.012,-0.027,1.165,-4.153,19.618,-42.885
0.026,-0.023,1.178,-3.076,20.542,-42.321
0.039,-0.025,1.175,-1.969,21.435,-42.176
0.034,-0.036,1.167,-1.382,22.718,-42.863
0.018,-0.035,1.176,-1.389,22.221,-43.748
0.011,-0.025,1.167,-2.229,19.863,-43.412
0.018,-0.013,1.177,-2.450,18.695,-42.137
0.041,-0.012,1.169,-3.008,20.092,-41.489
0.040,-0.024,1.184,-3.321,20.496,-42.061
0.026,-0.025,1.173,-3.282,19.321,-42.153
0.015,-0.021,1.183,-3.092,19.649,-41.504
0.019,-0.019,1.161,-3.618,19.656,-40.374
0.036,-0.016,1.177,-4.198,20.321,-39.786
0.039,-0.008,1.186,-3.443,19.710,-40.237
0.044,-0.010,1.171,-2.786,19.832,-40.603
0.032,-0.008,1.174,-2.947,20.221,-39.893
0.030,0.001,1.174,-3.282,20.473,-39.107
0.051,-0.004,1.166,-3.931,19.924,-38.519
0.065,-0.012,1.164,-3.931,19.794,-38.656
0.084,-0.020,1.174,-4.168,20.260,-38.870
0.076,-0.032,1.176,-3.107,21.023,-39.802
0.071,-0.037,1.172,-2.397,21.229,-40.939
0.062,-0.016,1.179,-1.985,20.779,-42.122
0.051,-0.002,1.163,-2.168,19.588,-42.382
0.044,0.001,1.150,-2.885,19.527,-41.656
0.043,-0.011,1.164,-3.656,19.634,-41.267
0.053,-0.012,1.159,-3.198,19.313,-41.427
0.056,-0.029,1.166,-3.145,20.771,-42.122
0.056,-0.023,1.155,-2.969,22.511,-42.076
0.042,-0.019,1.156,-3.473,22.985,-41.893
0.036,-0.016,1.159,-3.893,22.885,-42.061
0.020,-0.021,1.160,-4.168,21.756,-42.473
0.018,-0.021,1.169,-3.397,20.641,-42.198
