AX,AY,AZ,GX,GY,GZ
0.446,-0.066,1.228,-23.305,35.466,77.137
0.449,-0.112,1.215,-16.351,26.710,57.557
0.404,-0.115,1.189,-9.634,19.046,37.725
0.318,-0.075,1.213,-2.969,7.008,24.267
0.261,-0.031,1.200,2.267,-6.763,18.183
0.267,-0.008,1.188,6.214,-16.145,16.076
0.302,0.009,1.153,8.137,-20.962,14.916
0.357,0.013,1.122,8.466,-17.718,14.443
0.434,-0.001,1.101,6.260,-8.763,13.168
0.465,-0.003,1.087,3.191,3.718,8.374
0.464,0.012,1.090,-0.771,14.863,1.374
0.424,0.016,1.127,-4.252,22.573,-5.313
0.378,0.019,1.136,-7.153,25.061,-10.878
0.341,0.006,1.169,-9.023,23.489,-15.634
0.314,-0.005,1.185,-9.412,20.771,-20.198
0.286,-0.020,1.198,-8.252,16.733,-24.649
0.276,-0.039,1.190,-6.412,13.481,-29.092
0.291,-0.040,1.189,-4.527,11.679,-34.962
0.278,-0.038,1.190,-2.740,11.947,-40.336
0.259,-0.030,1.188,-1.504,13.870,-43.794
0.217,-0.025,1.193,0.580,14.176,-46.626
0.187,-0.024,1.182,2.695,13.489,-47.534
0.184,-0.017,1.172,3.473,15.519,-49.198
0.174,-0.010,1.156,3.069,17.473,-50.664
0.166,0.010,1.132,1.916,18.275,-52.595
0.143,0.028,1.131,-0.084,19.985,-53.649
0.130,0.023,1.119,-2.588,20.687,-54.221
0.096,0.021,1.141,-3.847,19.450,-54.511
0.083,0.018,1.140,-4.450,17.176,-54.351
0.074,0.014,1.142,-4.481,15.802,-54.260
0.070,0.009,1.141,-4.290,14.603,-54.618
0.066,0.013,1.143,-4.817,14.809,-54.939
0.047,0.004,1.172,-5.267,13.649,-55.321
0.031,-0.016,1.187,-5.710,10.863,-55.863
0.025,-0.026,1.213,-4.038,6.611,-57.053
0.017,-0.029,1.202,-2.885,2.725,-57.679
0.011,-0.024,1.213,-1.794,1.282,-57.130
0.022,-0.021,1.200,-1.160,2.458,-55.092
0.028,-0.005,1.171,-0.954,5.893,-53.137
0.052,0.022,1.167,-1.359,11.000,-51.038
0.059,0.030,1.148,-2.542,16.534,-48.214
0.059,0.028,1.134,-3.397,24.115,-45.298
0.047,0.019,1.154,-4.092,29.000,-43.924
0.040,0.004,1.167,-4.931,29.443,-43.893
0.013,-0.005,1.162,-5.573,27.962,-43.687
0.003,-0.019,1.208,-4.321,25.527,-44.153
0.002,-0.030,1.201,-2.076,19.595,-45.649
0.019,-0.027,1.194,-0.809,15.458,-46.695
0.016,-0.019,1.186,-0.809,13.641,-46.962
0.010,-0.011,1.187,-0.237,11.840,-46.382
0.030,-0.014,1.173,0.992,12.382,-44.809
0.056,-0.004,1.153,1.809,15.962,-43.443
0.082,0.008,1.125,1.115,21.443,-42.473
0.075,0.023,1.108,-0.588,27.901,-41.954
0.055,0.026,1.122,-1.649,31.046,-41.420
0.031,0.025,1.128,-2.710,30.763,-40.389
0.019,0.025,1.136,-3.733,27.802,-39.443
0.027,0.018,1.132,-4.466,25.038,-38.618
0.044,0.012,1.156,-4.313,24.137,-38.733
0.047,-0.002,1.160,-3.031,21.718,-40.153
0.054,-0.006,1.161,-2.130,19.382,-41.649
0.061,0.007,1.151,-2.084,18.450,-42.473
0.071,0.005,1.142,-3.031,18.198,-43.160
0.064,0.012,1.146,-3.641,19.099,-42.947
0.061,0.005,1.155,-4.031,19.641,-42.237
0.060,0.009,1.146,-3.763,22.168,-41.359
0.064,0.009,1.140,-3.634,25.115,-41.191
0.054,0.004,1.142,-3.947,27.397,-41.405
0.038,0.009,1.159,-4.267,27.924,-41.344
0.031,0.007,1.180,-4.527,25.969,-41.229
0.019,-0.001,1.188,-4.763,22.046,-42.122
0.015,-0.010,1.208,-4.916,18.053,-43.076
0.024,-0.016,1.197,-4.031,16.023,-42.466
0.034,-0.023,1.213,-2.687,16.336,-41.702
0.049,-0.019,1.198,-1.557,17.901,-41.534
0.048,-0.012,1.192,0.160,19.756,-41.000
0.048,-0.001,1.184,0.336,21.580,-40.183
0.051,0.006,1.182,-0.405,21.679,-38.893
0.064,0.011,1.178,-1.840,22.550,-37.557
0.077,0.012,1.154,-3.008,23.534,-37.466
0.074,-0.005,1.186,-4.069,22.290,-38.328
0.075,-0.016,1.192,-4.244,19.740,-39.206
0.081,-0.028,1.209,-3.359,16.939,-40.443
0.092,-0.028,1.203,-2.252,14.901,-41.855
0.095,-0.021,1.194,-1.076,14.130,-42.771
0.105,-0.010,1.178,-0.908,15.069,-42.328
0.102,-0.010,1.187,-1.298,16.840,-42.122
0.093,-0.011,1.166,-1.672,18.198,-42.214
0.085,-0.020,1.162,-1.794,19.153,-42.053
0.088,-0.021,1.181,-1.695,20.832,-41.695
0.096,-0.010,1.173,-0.885,21.962,-41.481
0.094,-0.013,1.163,-0.695,22.420,-41.634
0.090,-0.010,1.163,-0.084,22.565,-42.069
0.085,-0.006,1.152,0.382,21.916,-42.908
0.083,0.007,1.152,0.176,20.626,-43.802
0.092,0.021,1.153,-0.985,19.267,-43.908
0.100,0.007,1.149,-1.527,19.031,-44.664
0.090,0.002,1.156,-2.069,19.321,-45.794
0.073,-0.002,1.153,-2.595,18.924,-45.779
0.069,-0.008,1.153,-3.015,19.008,-44.924
0.068,-0.015,1.157,-2.985,19.328,-44.908
0.075,-0.007,1.158,-2.718,20.298,-45.023
0.083,-0.003,1.155,-2.473,21.580,-44.702
0.075,-0.007,1.172,-1.351,23.374,-44.649
0.073,-0.009,1.173,-0.618,24.244,-44.947
0.051,-0.012,1.168,-1.092,23.290,-45.137
0.053,0.002,1.168,-1.290,21.656,-44.420
0.083,0.012,1.167,-2.626,20.305,-42.496
0.117,0.011,1.169,-4.031,21.756,-40.679
0.164,0.018,1.172,-5.214,24.313,-39.725
0.186,0.005,1.188,-5.137,27.870,-39.634
0.204,-0.016,1.205,-4.893,29.313,-40.412
0.219,-0.028,1.222,-4.328,29.855,-40.557
0.235,-0.032,1.224,-3.679,32.206,-40.481
0.276,-0.038,1.241,-1.198,33.809,-43.649
0.291,-0.050,1.246,2.084,31.908,-49.908
0.285,-0.060,1.234,6.023,28.504,-56.489
0.258,-0.053,1.220,9.229,24.038,-60.435
0.279,-0.039,1.189,11.679,18.137,-60.649
0.357,-0.025,1.134,12.160,12.160,-58.878
0.468,0.017,1.134,11.000,8.038,-58.366
0.568,0.080,1.103,8.748,5.366,-59.137
0.673,0.140,1.089,6.107,7.634,-62.740
0.730,0.186,1.052,0.458,8.198,-67.443
0.790,0.197,1.060,-3.122,14.473,-71.817
0.873,0.207,1.031,-5.710,24.893,-78.939
0.911,0.210,1.019,-7.519,35.969,-89.794
0.891,0.198,1.029,-8.427,45.969,-100.863
0.828,0.157,1.031,-8.344,52.481,-110.481
0.722,0.095,1.047,-7.649,54.443,-118.565
0.619,0.036,1.077,-6.649,50.260,-124.962
0.522,-0.009,1.102,-3.771,41.817,-129.145
0.391,-0.064,1.155,-2.168,25.252,-132.679
0.263,-0.137,1.298,4.191,-1.985,-137.328
0.187,-0.180,1.290,9.031,-38.550,-143.977
0.189,-0.198,1.250,7.122,-66.847,-152.969
0.272,-0.168,1.162,3.107,-79.855,-163.992
0.348,-0.113,1.028,-8.298,-67.405,-169.985
0.360,-0.104,1.014,-20.832,-40.092,-169.817
0.314,-0.168,1.035,-32.771,-7.588,-165.069
0.191,-0.271,1.141,-43.275,16.214,-161.183
0.003,-0.374,1.263,-48.336,19.962,-160.000
-0.180,-0.469,1.365,-49.992,11.008,-164.336
-0.323,-0.520,1.437,-46.931,-0.916,-170.229
-0.398,-0.512,1.399,-40.366,-7.603,-171.664
-0.425,-0.450,1.367,-34.008,-6.092,-163.298
-0.367,-0.391,1.307,-26.473,7.603,-152.176
-0.350,-0.344,1.312,-19.771,23.374,-142.489
-0.386,-0.343,1.279,-13.969,32.374,-134.168
-0.477,-0.336,1.245,-11.008,38.916,-123.023
-0.535,-0.331,1.259,-10.679,37.672,-113.031
-0.577,-0.306,1.237,-11.702,32.351,-107.885
-0.585,-0.266,1.237,-13.435,23.168,-105.557
-0.580,-0.228,1.229,-14.099,13.595,-101.695
-0.566,-0.221,1.209,-14.076,9.603,-93.237
-0.513,-0.226,1.210,-12.656,8.786,-84.794
-0.474,-0.236,1.208,-8.794,12.176,-78.046
-0.486,-0.239,1.219,-3.069,15.053,-72.489
-0.498,-0.229,1.187,2.985,18.733,-66.130
-0.530,-0.210,1.168,7.435,20.443,-59.786
-0.531,-0.182,1.152,10.664,17.664,-52.824
-0.510,-0.145,1.119,12.389,16.557,-45.947
-0.491,-0.107,1.080,11.298,18.176,-37.580
-0.462,-0.100,1.080,9.076,20.664,-30.084
-0.431,-0.111,1.106,6.466,18.275,-24.252
-0.404,-0.117,1.103,4.160,15.168,-20.290
-0.376,-0.122,1.117,1.649,13.710,-16.351
-0.359,-0.115,1.146,-0.359,12.328,-12.718
-0.340,-0.127,1.159,-1.527,10.679,-10.397
-0.332,-0.131,1.186,-0.443,7.000,-8.885
-0.330,-0.119,1.188,1.191,3.527,-5.962
-0.305,-0.111,1.177,3.321,5.137,-1.214
-0.241,-0.104,1.155,4.992,8.840,6.336
-0.165,-0.094,1.144,4.931,17.840,14.511
-0.096,-0.085,1.139,5.252,29.031,21.351
-0.054,-0.078,1.154,4.733,36.542,25.595
-0.037,-0.083,1.147,4.435,40.748,26.779
-0.028,-0.076,1.127,3.031,42.771,27.000
-0.024,-0.073,1.115,-0.756,41.802,26.931
-0.030,-0.069,1.146,-6.481,36.267,27.069
-0.034,-0.072,1.201,-8.969,26.611,26.588
0.010,-0.079,1.190,-10.603,16.534,24.939
0.061,-0.077,1.185,-11.847,10.267,20.687
0.091,-0.078,1.186,-11.504,5.359,16.511
0.090,-0.064,1.188,-8.504,5.595,17.626
0.064,0.016,1.121,-7.985,9.626,36.015
0.136,-0.034,1.093,-8.489,26.519,47.305
0.153,-0.082,1.151,-9.313,30.092,49.221
0.163,-0.094,1.147,-11.710,25.298,49.740
0.173,-0.082,1.129,-14.710,27.351,52.099
0.210,-0.067,1.105,-16.450,31.466,51.947
0.240,-0.069,1.109,-17.015,35.435,47.710
0.228,-0.088,1.163,-13.038,34.710,40.794
0.187,-0.096,1.130,-7.481,30.534,35.489
0.144,-0.082,1.109,-5.237,24.534,36.855
0.155,-0.091,1.151,-5.992,15.420,41.305
0.213,-0.101,1.156,-8.069,4.763,41.824
0.290,-0.102,1.186,-9.962,-5.038,40.489
0.405,-0.110,1.160,-10.740,-6.160,36.870
