AX,AY,AZ,GX,GY,GZ
0.286,-0.012,1.169,0.214,15.458,-42.221
0.302,-0.013,1.164,1.489,17.328,-42.779
0.293,0.001,1.164,1.855,18.527,-42.908
0.284,0.001,1.161,1.405,18.313,-43.092
0.274,0.001,1.162,1.397,17.031,-43.351
0.271,-0.006,1.170,0.947,17.260,-42.641
0.277,-0.012,1.170,0.893,17.366,-42.298
0.285,-0.016,1.174,2.832,17.115,-42.969
0.284,-0.023,1.187,4.802,17.359,-44.298
0.276,-0.012,1.179,6.779,18.496,-44.359
0.286,0.002,1.169,7.420,18.985,-44.244
0.281,0.009,1.173,7.015,17.748,-44.298
0.281,0.008,1.176,6.832,16.702,-45.214
0.286,-0.002,1.169,7.313,16.389,-45.924
0.289,-0.005,1.157,8.382,18.344,-46.779
0.285,-0.007,1.146,10.656,20.160,-47.702
0.274,-0.008,1.113,13.481,22.237,-48.389
0.270,0.002,1.067,15.702,25.015,-48.634
0.264,0.014,1.042,17.160,28.115,-49.046
0.260,0.020,1.002,17.275,29.122,-50.214
0.248,0.024,0.943,16.321,30.817,-51.115
0.241,0.022,0.900,15.214,33.687,-51.328
0.231,0.017,0.846,14.443,36.244,-52.069
0.210,0.010,0.821,13.580,38.771,-52.863
0.195,0.008,0.755,12.435,40.908,-52.878
0.184,0.001,0.683,10.084,45.344,-53.466
0.174,0.006,0.643,9.473,47.527,-54.244
0.188,0.024,0.556,7.573,54.718,-55.046
0.163,0.041,0.500,3.580,59.573,-54.771
0.143,0.051,0.449,-0.107,64.611,-50.244
0.116,0.059,0.444,-9.137,61.053,-46.198
0.042,0.053,0.507,-19.748,49.588,-44.878
-0.050,0.035,0.575,-31.008,31.534,-48.008
-0.069,0.007,0.604,-39.977,11.053,-51.519
-0.060,-0.014,0.665,-43.160,-3.672,-50.947
0.022,-0.035,0.628,-44.496,-3.748,-47.183
0.129,-0.040,0.663,-41.725,4.855,-46.084
0.197,0.004,0.660,-36.160,17.405,-46.824
0.208,0.054,0.643,-33.824,32.550,-42.198
0.231,0.094,0.639,-33.870,45.901,-37.244
0.246,0.107,0.613,-39.069,51.115,-31.527
0.275,0.102,0.607,-49.939,49.115,-28.718
0.206,0.097,0.742,-71.641,33.191,-32.420
0.021,0.047,0.997,-99.313,-3.527,-36.168
-0.055,-0.046,1.134,-124.916,-38.275,-41.061
0.076,-0.156,1.249,-134.908,-50.893,-38.679
0.359,-0.276,1.291,-132.573,-35.305,-30.847
0.576,-0.376,1.405,-120.618,3.015,-26.527
0.584,-0.415,1.504,-96.588,39.145,-28.099
0.449,-0.386,1.518,-71.992,59.076,-32.924
0.359,-0.324,1.435,-49.160,65.374,-39.298
0.305,-0.234,1.341,-35.252,58.725,-44.221
0.248,-0.145,1.229,-37.321,37.824,-39.809
0.115,-0.075,1.286,-61.504,9.031,-34.664
0.059,-0.116,1.351,-92.198,-15.878,-33.145
0.173,-0.266,1.478,-104.779,-20.802,-37.359
0.353,-0.413,1.602,-101.466,-10.305,-33.015
0.475,-0.548,1.665,-83.214,12.191,-29.687
0.445,-0.579,1.693,-62.924,32.634,-34.885
0.323,-0.498,1.695,-46.115,39.115,-40.351
0.274,-0.410,1.597,-34.794,39.794,-41.496
0.283,-0.364,1.549,-26.725,34.901,-38.870
0.278,-0.318,1.506,-28.053,26.405,-36.786
0.252,-0.309,1.478,-38.214,19.611,-37.031
0.249,-0.340,1.533,-47.275,14.099,-38.947
0.230,-0.403,1.619,-49.679,10.916,-38.015
0.249,-0.495,1.661,-46.481,14.710,-35.954
0.270,-0.554,1.702,-36.450,18.725,-36.092
0.283,-0.537,1.667,-23.382,24.290,-37.779
0.287,-0.482,1.621,-12.298,29.985,-37.527
0.289,-0.434,1.554,-2.336,34.153,-36.145
0.288,-0.403,1.464,4.954,33.107,-36.527
0.292,-0.369,1.379,7.588,29.702,-36.947
0.328,-0.338,1.289,7.435,27.153,-38.450
0.361,-0.313,1.243,6.282,27.763,-40.763
0.367,-0.309,1.223,5.206,28.985,-42.122
0.352,-0.315,1.204,4.931,31.473,-43.145
0.303,-0.329,1.219,4.191,29.893,-44.344
0.271,-0.340,1.225,4.237,26.580,-45.641
0.267,-0.353,1.222,4.779,23.588,-46.664
0.289,-0.361,1.211,6.939,23.916,-47.122
