AX,AY,AZ,GX,GY,GZ
0.042,-0.072,0.780,-77.824,38.557,-31.641
0.015,-0.084,0.802,-87.344,35.214,-30.023
-0.009,-0.094,0.832,-99.473,28.550,-28.137
0.042,-0.108,0.837,-113.618,19.221,-26.092
0.102,-0.107,0.894,-124.641,14.550,-24.313
0.198,-0.116,0.936,-131.840,14.092,-23.191
0.288,-0.120,0.911,-134.763,20.656,-24.412
0.327,-0.119,0.946,-136.237,34.328,-25.740
0.327,-0.127,0.970,-133.641,47.015,-27.198
0.264,-0.154,1.066,-126.481,59.168,-27.229
0.110,-0.247,1.481,-90.695,25.084,-23.626
0.292,-0.247,0.755,-96.351,70.176,-30.122
-0.158,-0.317,1.809,-87.992,-22.198,-26.000
0.277,-0.800,2.000,33.313,-64.275,-45.939
0.403,-0.507,1.551,46.656,-28.099,-61.855
0.322,-0.048,1.290,19.023,-18.794,-49.840
0.273,0.140,1.319,-23.504,-39.634,-29.153
0.524,0.016,1.457,-46.168,-10.191,-25.282
0.722,-0.142,1.438,-57.733,25.939,-33.504
0.595,-0.232,1.694,-45.985,53.710,-38.260
0.426,-0.304,1.858,-12.534,62.939,-44.618
0.294,-0.287,1.727,14.687,51.580,-52.076
0.231,-0.231,1.624,27.603,42.305,-50.740
0.278,-0.176,1.470,33.878,33.015,-50.397
0.292,-0.123,1.414,34.450,22.924,-53.412
0.277,-0.071,1.295,30.725,18.947,-58.115
0.229,-0.036,1.344,31.443,14.328,-65.565
0.142,0.029,1.385,41.771,1.687,-68.672
0.156,0.059,1.274,51.710,-5.389,-65.290
0.256,0.042,1.267,62.061,-13.725,-61.916
0.375,0.031,1.128,63.954,-13.595,-64.939
0.469,0.081,1.001,56.847,-1.809,-64.229
0.480,0.103,1.024,41.985,-0.763,-58.206
0.335,0.045,1.098,24.038,-16.473,-54.511
0.181,-0.123,1.230,7.015,-41.557,-56.092
0.131,-0.313,1.358,2.023,-64.794,-64.794
0.196,-0.416,1.356,1.107,-72.382,-67.496
0.305,-0.479,1.386,6.664,-57.473,-66.534
0.372,-0.498,1.412,18.489,-26.611,-63.901
0.351,-0.492,1.474,36.435,7.221,-58.573
0.278,-0.465,1.418,49.847,38.031,-53.351
0.188,-0.432,1.393,56.802,56.794,-47.985
0.135,-0.386,1.337,60.275,56.969,-46.458
0.116,-0.335,1.287,58.351,50.031,-45.687
0.112,-0.286,1.234,54.924,40.137,-45.603
0.155,-0.224,1.155,51.420,31.763,-44.870
0.208,-0.188,1.110,47.023,26.008,-43.626
0.258,-0.188,1.114,45.649,24.962,-43.176
0.276,-0.187,1.092,43.969,27.000,-44.237
0.227,-0.182,1.099,41.756,26.756,-43.336
0.192,-0.186,1.104,40.260,24.756,-41.725
0.181,-0.182,1.083,37.252,21.733,-40.420
0.194,-0.179,1.076,33.626,18.244,-39.748
0.236,-0.179,1.103,32.359,17.427,-39.145
0.282,-0.166,1.092,31.527,19.244,-39.878
0.294,-0.144,1.075,30.679,21.420,-40.420
0.301,-0.119,1.074,28.336,24.634,-39.756
0.278,-0.111,1.087,26.191,24.168,-39.649
0.258,-0.112,1.075,23.092,21.038,-40.321
0.251,-0.108,1.112,20.664,16.420,-40.725
0.250,-0.104,1.123,19.687,11.687,-41.725
0.270,-0.087,1.130,19.740,7.794,-43.710
0.290,-0.066,1.077,18.160,8.985,-45.198
0.296,-0.051,1.084,17.565,10.489,-45.779
0.282,-0.049,1.098,18.939,11.359,-46.695
0.276,-0.029,1.060,19.275,14.282,-47.176
0.271,-0.010,1.062,19.176,17.534,-46.939
0.277,-0.002,1.062,17.870,19.115,-47.153
0.269,-0.005,1.084,17.863,19.824,-47.443
0.277,-0.018,1.103,17.809,19.191,-48.725
0.247,-0.016,1.117,17.954,15.603,-50.893
0.220,-0.023,1.114,17.962,9.878,-53.374
0.215,-0.021,1.132,17.802,4.687,-53.824
0.210,-0.018,1.145,17.756,-0.672,-54.053
0.225,-0.012,1.122,16.756,-2.397,-53.840
0.243,-0.014,1.125,16.359,-0.260,-53.153
0.252,-0.031,1.147,17.595,1.626,-53.275
0.258,-0.025,1.136,19.107,7.122,-53.649
0.247,-0.029,1.156,21.336,11.947,-52.634
0.246,-0.014,1.149,22.015,14.382,-52.000
0.251,-0.014,1.148,22.466,16.557,-52.000
0.248,-0.008,1.147,22.397,15.519,-52.573
0.246,-0.002,1.143,22.061,13.977,-53.252
0.237,0.011,1.143,21.771,11.351,-53.076
0.241,0.019,1.133,22.191,10.137,-52.809
0.251,0.030,1.141,22.595,8.985,-51.740
0.272,0.037,1.121,23.359,10.885,-50.985
0.289,0.047,1.125,23.649,13.634,-51.076
0.268,0.056,1.110,22.939,15.153,-51.168
0.257,0.051,1.112,21.664,15.824,-50.290
0.258,0.045,1.099,20.786,15.176,-48.557
0.279,0.054,1.097,19.679,15.748,-47.840
0.284,0.052,1.116,19.763,15.122,-48.695
0.284,0.063,1.107,21.634,13.611,-50.382
0.254,0.064,1.092,22.076,13.076,-50.534
0.244,0.065,1.100,21.672,10.977,-49.779
0.240,0.064,1.108,21.321,8.641,-48.626
0.250,0.052,1.103,21.504,7.260,-47.595
0.284,0.047,1.093,21.672,9.313,-47.580
0.297,0.061,1.076,21.962,14.527,-47.771
0.276,0.076,1.063,21.038,18.969,-46.885
0.253,0.085,1.052,19.084,20.351,-45.267
