AX,AY,AZ,GX,GY,GZ
0.228,-0.142,1.257,-35.618,28.641,-39.489
0.225,-0.146,1.252,-32.885,27.397,-39.298
0.240,-0.148,1.261,-30.473,27.847,-39.046
0.257,-0.145,1.230,-29.282,28.290,-37.573
0.276,-0.136,1.246,-28.924,31.634,-37.115
0.274,-0.140,1.247,-29.046,32.580,-37.931
0.264,-0.147,1.243,-29.069,33.687,-40.511
0.238,-0.153,1.253,-27.992,32.550,-40.275
0.236,-0.177,1.261,-26.763,32.748,-38.183
0.227,-0.206,1.282,-23.489,31.160,-38.000
0.221,-0.210,1.257,-19.061,29.634,-38.664
0.203,-0.194,1.317,-14.496,25.756,-38.542
0.221,-0.193,1.264,-11.916,23.824,-38.023
0.253,-0.197,1.257,-9.763,24.893,-38.053
0.259,-0.190,1.256,-7.313,26.733,-37.786
0.259,-0.189,1.239,-5.542,30.405,-37.435
0.227,-0.188,1.228,-4.885,29.702,-37.328
0.212,-0.191,1.233,-4.534,27.794,-37.084
0.215,-0.176,1.210,-4.595,24.244,-36.817
0.210,-0.188,1.207,-5.336,21.214,-35.885
0.226,-0.200,1.221,-5.450,17.771,-36.603
0.231,-0.206,1.213,-4.229,15.893,-36.824
0.253,-0.220,1.210,-1.740,16.618,-37.481
0.251,-0.218,1.229,2.580,18.802,-41.626
0.228,-0.208,1.231,5.733,18.870,-40.084
0.248,-0.218,1.212,7.130,19.695,-39.435
0.244,-0.198,1.176,7.160,19.420,-41.947
0.217,-0.175,1.188,5.214,19.366,-41.366
0.215,-0.180,1.182,4.679,18.031,-40.527
0.213,-0.200,1.219,4.160,14.481,-40.313
0.209,-0.205,1.239,6.053,12.489,-40.756
0.208,-0.217,1.250,8.725,11.969,-40.412
0.229,-0.219,1.241,11.664,10.947,-40.221
0.240,-0.205,1.243,12.435,13.069,-39.275
0.240,-0.195,1.236,12.924,15.221,-38.229
0.242,-0.185,1.242,12.702,16.237,-38.321
0.245,-0.190,1.234,12.328,17.359,-39.641
0.250,-0.199,1.247,14.748,17.855,-40.641
0.253,-0.198,1.233,16.504,18.634,-42.344
0.229,-0.186,1.252,19.672,16.985,-45.160
0.173,-0.161,1.211,20.954,15.435,-43.641
0.221,-0.171,1.188,21.344,14.237,-42.069
0.238,-0.154,1.190,20.206,11.389,-42.160
0.233,-0.135,1.175,18.771,13.786,-41.748
0.243,-0.139,1.181,17.282,16.099,-40.519
0.243,-0.149,1.203,16.939,16.618,-40.748
0.236,-0.164,1.200,18.160,18.023,-43.168
0.211,-0.160,1.223,20.519,16.611,-41.122
0.215,-0.167,1.225,23.092,16.985,-39.511
0.233,-0.164,1.226,25.053,15.985,-40.359
0.232,-0.148,1.218,26.885,15.328,-41.374
0.231,-0.138,1.228,28.214,14.092,-41.595
0.231,-0.134,1.212,29.824,13.069,-42.473
0.242,-0.132,1.207,31.237,11.947,-42.962
0.248,-0.126,1.187,32.664,10.901,-43.443
0.243,-0.116,1.197,33.794,11.244,-44.015
0.228,-0.097,1.174,34.580,9.756,-44.252
0.225,-0.089,1.172,34.046,8.252,-43.931
0.227,-0.089,1.161,33.382,7.786,-44.198
0.245,-0.101,1.161,33.992,8.160,-43.840
0.257,-0.093,1.146,34.511,10.366,-43.885
0.250,-0.086,1.140,34.710,12.214,-43.687
0.248,-0.074,1.138,34.947,12.427,-43.649
0.252,-0.063,1.122,34.191,12.916,-43.107
0.249,-0.047,1.124,32.427,12.672,-43.031
0.236,-0.043,1.123,30.695,10.992,-43.534
0.229,-0.054,1.151,30.153,7.870,-43.573
0.235,-0.061,1.130,30.954,6.061,-43.947
0.249,-0.068,1.158,32.038,6.069,-44.046
0.238,-0.057,1.150,32.641,8.519,-43.443
0.265,-0.047,1.133,33.954,4.656,-44.191
0.263,-0.035,1.116,34.282,9.221,-44.137
0.274,-0.024,1.108,34.916,9.710,-43.649
0.282,0.001,1.069,34.443,12.931,-43.840
0.278,0.007,1.088,33.374,17.649,-43.656
0.284,-0.002,1.092,32.435,18.405,-43.840
0.271,0.016,1.078,31.855,17.725,-44.809
0.256,0.034,1.070,31.740,17.450,-44.908
0.251,0.031,1.082,32.260,15.733,-45.260
0.256,0.032,1.094,32.817,14.267,-46.153
0.242,0.038,1.074,32.824,9.939,-46.962
0.246,0.048,1.033,31.191,7.321,-46.427
0.251,0.050,1.033,28.618,6.565,-45.863
0.260,0.059,1.053,26.718,4.679,-46.458
0.261,0.058,1.051,25.580,4.336,-47.122
0.263,0.060,1.046,24.870,5.634,-46.954
0.258,0.072,1.054,24.885,7.115,-45.473
0.270,0.070,1.039,24.176,10.458,-44.298
0.273,0.067,1.068,23.382,10.924,-44.550
0.266,0.083,1.062,21.962,10.389,-45.214
0.260,0.083,1.062,20.771,9.458,-44.924
0.270,0.086,1.054,19.939,8.321,-45.321
0.280,0.092,1.045,18.992,9.153,-45.275
0.271,0.107,1.054,17.282,9.290,-44.595
0.276,0.108,1.045,16.076,10.282,-44.313
0.280,0.109,1.055,15.008,11.221,-43.931
0.293,0.103,1.047,14.252,11.954,-44.466
0.295,0.095,1.053,13.878,14.069,-44.908
0.271,0.102,1.054,13.847,14.115,-45.191
0.267,0.102,1.058,13.282,13.389,-44.328
0.272,0.111,1.054,12.351,13.084,-44.244
0.282,0.113,1.055,12.031,11.939,-44.542
0.299,0.127,1.045,11.389,12.847,-44.153
0.308,0.132,1.039,10.092,13.481,-44.153
0.296,0.132,1.036,7.023,13.878,-43.626
0.286,0.129,1.052,5.237,14.191,-42.992
0.299,0.127,1.083,3.718,12.389,-42.260
0.329,0.115,1.094,4.275,13.504,-42.214
0.337,0.108,1.112,6.611,15.176,-43.191
0.345,0.109,1.090,8.985,18.275,-44.023
